Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.25125,12.50128,102,1706,,,HIPERMERCADOS,2018 ,Diciembre
PATATAS FRESCAS,7.01090,6.03609,086,904,,,HIPERMERCADOS,2018 ,Diciembre
PATATAS CONGELADAS,32620,49070,15,12,,,HIPERMERCADOS,2018 ,Diciembre
PATATAS PROCESADAS,98283,5.97449,608,1097,,,HIPERMERCADOS,2018 ,Diciembre
PATATAS FRITAS,75291,5.61283,745,1045,,,HIPERMERCADOS,2018 ,Diciembre
T.HORTALIZAS FRESCAS,15.23338,32.08701,211,2865,,,HIPERMERCADOS,2018 ,Diciembre
TOMATES,2.81774,5.54105,197,1214,,,HIPERMERCADOS,2018 ,Diciembre
CEBOLLAS,2.71491,3.05272,112,102,,,HIPERMERCADOS,2018 ,Diciembre
AJOS,27973,1.32063,472,466,,,HIPERMERCADOS,2018 ,Diciembre
COLES,31171,49262,158,159,,,HIPERMERCADOS,2018 ,Diciembre
PEPINOS,29451,41488,141,196,,,HIPERMERCADOS,2018 ,Diciembre
JUDIAS VERDES,25799,81059,314,237,,,HIPERMERCADOS,2018 ,Diciembre
PIMIENTOS,1.35288,2.77855,205,936,,,HIPERMERCADOS,2018 ,Diciembre
CHAMPIÑONES+O.SETAS,46236,2.21937,48,492,,,HIPERMERCADOS,2018 ,Diciembre
LECHUGA/ESC./ENDIVIA,99985,3.74737,375,857,,,HIPERMERCADOS,2018 ,Diciembre
ESPARRAGOS,8861,44632,504,07,,,HIPERMERCADOS,2018 ,Diciembre
VERDURAS DE HOJA,21000,66077,315,208,,,HIPERMERCADOS,2018 ,Diciembre
BERENJENAS,27105,49231,182,212,,,HIPERMERCADOS,2018 ,Diciembre
ZANAHORIAS,1.17501,1.07293,091,685,,,HIPERMERCADOS,2018 ,Diciembre
CALABACINES,96755,1.52932,158,518,,,HIPERMERCADOS,2018 ,Diciembre
OTR.HORTALIZAS/VERD.,3.02949,7.50757,248,1507,,,HIPERMERCADOS,2018 ,Diciembre
BROCOLI,51815,75913,147,265,,,HIPERMERCADOS,2018 ,Diciembre
ALCACHOFAS,13498,29410,218,06,,,HIPERMERCADOS,2018 ,Diciembre
VERD./HORT. IV GAMA,1.77874,6.17736,347,1207,,,HIPERMERCADOS,2018 ,Diciembre
