Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,9.50689,9.75672,103,1392,,,HIPERMERCADOS,2018 ,Julio
PATATAS FRESCAS,4.99982,4.21969,084,672,,,HIPERMERCADOS,2018 ,Julio
PATATAS CONGELADAS,35031,47273,135,138,,,HIPERMERCADOS,2018 ,Julio
PATATAS PROCESADAS,83135,5.06430,609,91,,,HIPERMERCADOS,2018 ,Julio
T.HORTALIZAS FRESCAS,15.15817,29.98012,198,2583,,,HIPERMERCADOS,2018 ,Julio
TOMATES,3.97308,6.29906,159,1304,,,HIPERMERCADOS,2018 ,Julio
CEBOLLAS,1.90691,2.16567,114,851,,,HIPERMERCADOS,2018 ,Julio
AJOS,17618,80513,457,278,,,HIPERMERCADOS,2018 ,Julio
COLES,24486,27497,112,118,,,HIPERMERCADOS,2018 ,Julio
PEPINOS,1.10403,1.45664,132,575,,,HIPERMERCADOS,2018 ,Julio
JUDIAS VERDES,31499,97234,309,241,,,HIPERMERCADOS,2018 ,Julio
PIMIENTOS,1.49401,3.13885,21,891,,,HIPERMERCADOS,2018 ,Julio
CHAMPIÑONES+O.SETAS,33251,1.57195,473,383,,,HIPERMERCADOS,2018 ,Julio
LECHUGA/ESC./ENDIVIA,97685,3.68415,377,83,,,HIPERMERCADOS,2018 ,Julio
ESPARRAGOS,6113,32380,53,073,,,HIPERMERCADOS,2018 ,Julio
VERDURAS DE HOJA,17319,69338,4,221,,,HIPERMERCADOS,2018 ,Julio
BERENJENAS,39290,51170,13,257,,,HIPERMERCADOS,2018 ,Julio
ZANAHORIAS,1.16486,1.05101,09,655,,,HIPERMERCADOS,2018 ,Julio
CALABACINES,1.13886,1.20406,106,538,,,HIPERMERCADOS,2018 ,Julio
OTR.HORTALIZAS/VERD.,1.70380,5.82743,342,1029,,,HIPERMERCADOS,2018 ,Julio
BROCOLI,24482,42540,174,149,,,HIPERMERCADOS,2018 ,Julio
ALCACHOFAS,3849,14527,377,043,,,HIPERMERCADOS,2018 ,Julio
VERD./HORT. IV GAMA,2.15944,7.78546,361,1128,,,HIPERMERCADOS,2018 ,Julio
