Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,41906,46635,111,062,,,INTERNET,2013 ,Diciembre
PATATAS FRESCAS,17795,17454,098,023,,,INTERNET,2013 ,Diciembre
PATATAS CONGELADAS,2309,2494,108,007,,,INTERNET,2013 ,Diciembre
PATATAS PROCESADAS,4360,26687,612,041,,,INTERNET,2013 ,Diciembre
T.HORTALIZAS FRESCAS,35535,84296,237,119,,,INTERNET,2013 ,Diciembre
TOMATES,4586,9105,199,036,,,INTERNET,2013 ,Diciembre
CEBOLLAS,6852,6857,1,026,,,INTERNET,2013 ,Diciembre
AJOS,1092,5836,534,017,,,INTERNET,2013 ,Diciembre
COLES,1121,704,063,003,,,INTERNET,2013 ,Diciembre
PEPINOS,244,454,186,002,,,INTERNET,2013 ,Diciembre
JUDIAS VERDES,000,000,0,0,,,INTERNET,2013 ,Diciembre
PIMIENTOS,1049,1969,188,011,,,INTERNET,2013 ,Diciembre
CHAMPIÑONES+O.SETAS,2426,12788,527,031,,,INTERNET,2013 ,Diciembre
LECHUGA/ESC./ENDIVIA,2700,8157,302,036,,,INTERNET,2013 ,Diciembre
ESPARRAGOS,098,684,699,002,,,INTERNET,2013 ,Diciembre
VERDURAS DE HOJA,232,918,395,002,,,INTERNET,2013 ,Diciembre
BERENJENAS,1319,2535,192,005,,,INTERNET,2013 ,Diciembre
ZANAHORIAS,2912,2435,084,017,,,INTERNET,2013 ,Diciembre
CALABACINES,2083,4146,199,01,,,INTERNET,2013 ,Diciembre
OTR.HORTALIZAS/VERD.,8820,27708,314,032,,,INTERNET,2013 ,Diciembre
VERD./HORT. IV GAMA,1917,8324,434,021,,,INTERNET,2013 ,Diciembre
VERD./HORT. ECOLOGIC,5409,17336,32,01,,,INTERNET,2013 ,Diciembre
