Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,61675,60554,098,087,,,INTERNET,2013 ,Mayo
PATATAS FRESCAS,25322,22816,09,033,,,INTERNET,2013 ,Mayo
PATATAS CONGELADAS,2152,2335,108,007,,,INTERNET,2013 ,Mayo
PATATAS PROCESADAS,6840,35403,518,063,,,INTERNET,2013 ,Mayo
T.HORTALIZAS FRESCAS,42046,97034,231,113,,,INTERNET,2013 ,Mayo
TOMATES,7755,17114,221,051,,,INTERNET,2013 ,Mayo
CEBOLLAS,5108,4337,085,019,,,INTERNET,2013 ,Mayo
AJOS,547,3217,588,009,,,INTERNET,2013 ,Mayo
COLES,000,000,0,0,,,INTERNET,2013 ,Mayo
PEPINOS,1510,2220,147,013,,,INTERNET,2013 ,Mayo
JUDIAS VERDES,2441,6988,286,018,,,INTERNET,2013 ,Mayo
PIMIENTOS,4317,8350,193,035,,,INTERNET,2013 ,Mayo
CHAMPIÑONES+O.SETAS,1518,7620,502,023,,,INTERNET,2013 ,Mayo
LECHUGA/ESC./ENDIVIA,2568,6846,267,024,,,INTERNET,2013 ,Mayo
ESPARRAGOS,076,544,718,002,,,INTERNET,2013 ,Mayo
VERDURAS DE HOJA,303,1010,333,004,,,INTERNET,2013 ,Mayo
BERENJENAS,594,869,146,005,,,INTERNET,2013 ,Mayo
ZANAHORIAS,2404,3790,158,023,,,INTERNET,2013 ,Mayo
CALABACINES,4511,6484,144,027,,,INTERNET,2013 ,Mayo
OTR.HORTALIZAS/VERD.,8393,27643,329,048,,,INTERNET,2013 ,Mayo
VERD./HORT. IV GAMA,3463,20425,59,037,,,INTERNET,2013 ,Mayo
VERD./HORT. ECOLOGIC,962,2412,251,006,,,INTERNET,2013 ,Mayo
