Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,87853,71907,082,097,,,INTERNET,2014 ,Julio
PATATAS FRESCAS,37959,22416,059,042,,,INTERNET,2014 ,Julio
PATATAS CONGELADAS,5701,6922,121,021,,,INTERNET,2014 ,Julio
PATATAS PROCESADAS,8839,42569,482,058,,,INTERNET,2014 ,Julio
T.HORTALIZAS FRESCAS,66444,1.11583,168,173,,,INTERNET,2014 ,Julio
TOMATES,15594,20091,129,086,,,INTERNET,2014 ,Julio
CEBOLLAS,15206,15274,1,055,,,INTERNET,2014 ,Julio
AJOS,574,2419,422,009,,,INTERNET,2014 ,Julio
COLES,1406,1570,112,006,,,INTERNET,2014 ,Julio
PEPINOS,4290,4969,116,03,,,INTERNET,2014 ,Julio
JUDIAS VERDES,2658,6577,247,013,,,INTERNET,2014 ,Julio
PIMIENTOS,3592,6659,185,041,,,INTERNET,2014 ,Julio
CHAMPIÑONES+O.SETAS,2920,8814,302,034,,,INTERNET,2014 ,Julio
LECHUGA/ESC./ENDIVIA,4323,12692,294,045,,,INTERNET,2014 ,Julio
ESPARRAGOS,223,882,396,002,,,INTERNET,2014 ,Julio
VERDURAS DE HOJA,773,2339,303,012,,,INTERNET,2014 ,Julio
BERENJENAS,1179,1281,109,004,,,INTERNET,2014 ,Julio
ZANAHORIAS,4950,4352,088,033,,,INTERNET,2014 ,Julio
CALABACINES,3300,2977,09,018,,,INTERNET,2014 ,Julio
OTR.HORTALIZAS/VERD.,5456,20687,379,059,,,INTERNET,2014 ,Julio
VERD./HORT. IV GAMA,3849,21524,559,047,,,INTERNET,2014 ,Julio
VERD./HORT. ECOLOGIC,4543,8274,182,017,,,INTERNET,2014 ,Julio
