Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,73369,60278,082,097,,,INTERNET,2014 ,Junio
PATATAS FRESCAS,21429,15365,072,037,,,INTERNET,2014 ,Junio
PATATAS CONGELADAS,2774,4306,155,012,,,INTERNET,2014 ,Junio
PATATAS PROCESADAS,9833,40606,413,063,,,INTERNET,2014 ,Junio
T.HORTALIZAS FRESCAS,72649,1.12529,155,179,,,INTERNET,2014 ,Junio
TOMATES,15498,19286,124,077,,,INTERNET,2014 ,Junio
CEBOLLAS,11236,9578,085,046,,,INTERNET,2014 ,Junio
AJOS,576,2851,495,01,,,INTERNET,2014 ,Junio
COLES,6052,2853,047,005,,,INTERNET,2014 ,Junio
PEPINOS,4746,5102,107,025,,,INTERNET,2014 ,Junio
JUDIAS VERDES,1964,5431,277,012,,,INTERNET,2014 ,Junio
PIMIENTOS,5953,9873,166,046,,,INTERNET,2014 ,Junio
CHAMPIÑONES+O.SETAS,2175,8681,399,023,,,INTERNET,2014 ,Junio
LECHUGA/ESC./ENDIVIA,3455,9131,264,034,,,INTERNET,2014 ,Junio
ESPARRAGOS,522,1865,357,007,,,INTERNET,2014 ,Junio
VERDURAS DE HOJA,1184,3631,307,01,,,INTERNET,2014 ,Junio
BERENJENAS,717,903,126,01,,,INTERNET,2014 ,Junio
ZANAHORIAS,3971,2789,07,027,,,INTERNET,2014 ,Junio
CALABACINES,1728,1798,104,013,,,INTERNET,2014 ,Junio
OTR.HORTALIZAS/VERD.,12873,28759,223,067,,,INTERNET,2014 ,Junio
VERD./HORT. IV GAMA,4703,24110,513,045,,,INTERNET,2014 ,Junio
VERD./HORT. ECOLOGIC,2387,4162,174,01,,,INTERNET,2014 ,Junio
