Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,89796,69925,078,119,,,INTERNET,2015 ,Enero
PATATAS FRESCAS,51299,34274,067,056,,,INTERNET,2015 ,Enero
PATATAS CONGELADAS,1807,2452,136,005,,,INTERNET,2015 ,Enero
PATATAS PROCESADAS,7338,33198,452,073,,,INTERNET,2015 ,Enero
T.HORTALIZAS FRESCAS,79665,1.51814,191,227,,,INTERNET,2015 ,Enero
TOMATES,13441,26285,196,071,,,INTERNET,2015 ,Enero
CEBOLLAS,17597,14526,083,055,,,INTERNET,2015 ,Enero
AJOS,1404,6944,494,029,,,INTERNET,2015 ,Enero
COLES,3054,3200,105,015,,,INTERNET,2015 ,Enero
PEPINOS,878,1224,139,007,,,INTERNET,2015 ,Enero
JUDIAS VERDES,2241,6098,272,015,,,INTERNET,2015 ,Enero
PIMIENTOS,6809,13483,198,046,,,INTERNET,2015 ,Enero
CHAMPIÑONES+O.SETAS,2066,7600,368,03,,,INTERNET,2015 ,Enero
LECHUGA/ESC./ENDIVIA,4210,14212,338,054,,,INTERNET,2015 ,Enero
ESPARRAGOS,203,919,452,003,,,INTERNET,2015 ,Enero
VERDURAS DE HOJA,723,2483,343,008,,,INTERNET,2015 ,Enero
BERENJENAS,1263,2788,221,009,,,INTERNET,2015 ,Enero
ZANAHORIAS,7254,4672,064,032,,,INTERNET,2015 ,Enero
CALABACINES,6765,14846,219,04,,,INTERNET,2015 ,Enero
OTR.HORTALIZAS/VERD.,11754,32534,277,08,,,INTERNET,2015 ,Enero
VERD./HORT. IV GAMA,9263,33936,366,076,,,INTERNET,2015 ,Enero
VERD./HORT. ECOLOGIC,547,1618,296,005,,,INTERNET,2015 ,Enero
