Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,65051,61138,094,092,,,INTERNET,2015 ,Octubre
PATATAS FRESCAS,37756,31111,082,041,,,INTERNET,2015 ,Octubre
PATATAS CONGELADAS,3065,4240,138,015,,,INTERNET,2015 ,Octubre
PATATAS PROCESADAS,4846,25786,532,056,,,INTERNET,2015 ,Octubre
T.HORTALIZAS FRESCAS,67448,1.34658,2,189,,,INTERNET,2015 ,Octubre
TOMATES,9568,16824,176,074,,,INTERNET,2015 ,Octubre
CEBOLLAS,10176,12245,12,056,,,INTERNET,2015 ,Octubre
AJOS,852,4685,55,015,,,INTERNET,2015 ,Octubre
COLES,1274,1998,157,008,,,INTERNET,2015 ,Octubre
PEPINOS,3756,3917,104,028,,,INTERNET,2015 ,Octubre
JUDIAS VERDES,2580,9059,351,019,,,INTERNET,2015 ,Octubre
PIMIENTOS,3891,8465,218,034,,,INTERNET,2015 ,Octubre
CHAMPIÑONES+O.SETAS,1919,8163,425,017,,,INTERNET,2015 ,Octubre
LECHUGA/ESC./ENDIVIA,4493,20793,463,044,,,INTERNET,2015 ,Octubre
ESPARRAGOS,4799,6380,133,011,,,INTERNET,2015 ,Octubre
VERDURAS DE HOJA,877,4410,503,012,,,INTERNET,2015 ,Octubre
BERENJENAS,3392,4046,119,021,,,INTERNET,2015 ,Octubre
ZANAHORIAS,6330,4665,074,045,,,INTERNET,2015 ,Octubre
CALABACINES,5069,6766,133,025,,,INTERNET,2015 ,Octubre
OTR.HORTALIZAS/VERD.,8471,22241,263,062,,,INTERNET,2015 ,Octubre
VERD./HORT. IV GAMA,6130,30144,492,057,,,INTERNET,2015 ,Octubre
