Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,91418,79753,087,095,,,INTERNET,2016 ,Abril
PATATAS FRESCAS,48461,38692,08,062,,,INTERNET,2016 ,Abril
PATATAS CONGELADAS,3379,4037,119,009,,,INTERNET,2016 ,Abril
PATATAS PROCESADAS,7916,37024,468,057,,,INTERNET,2016 ,Abril
T.HORTALIZAS FRESCAS,99212,1.75771,177,226,,,INTERNET,2016 ,Abril
TOMATES,20172,29816,148,106,,,INTERNET,2016 ,Abril
CEBOLLAS,16638,20118,121,054,,,INTERNET,2016 ,Abril
AJOS,1362,6034,443,019,,,INTERNET,2016 ,Abril
COLES,1238,1356,11,005,,,INTERNET,2016 ,Abril
PEPINOS,4206,5018,119,028,,,INTERNET,2016 ,Abril
JUDIAS VERDES,3219,8813,274,029,,,INTERNET,2016 ,Abril
PIMIENTOS,10178,21876,215,06,,,INTERNET,2016 ,Abril
CHAMPIÑONES+O.SETAS,3606,10815,3,034,,,INTERNET,2016 ,Abril
LECHUGA/ESC./ENDIVIA,3755,13944,371,051,,,INTERNET,2016 ,Abril
ESPARRAGOS,409,2085,51,007,,,INTERNET,2016 ,Abril
VERDURAS DE HOJA,1401,3305,236,017,,,INTERNET,2016 ,Abril
BERENJENAS,3113,3902,125,022,,,INTERNET,2016 ,Abril
ZANAHORIAS,7000,5092,073,039,,,INTERNET,2016 ,Abril
CALABACINES,7625,12465,163,043,,,INTERNET,2016 ,Abril
OTR.HORTALIZAS/VERD.,15290,31130,204,095,,,INTERNET,2016 ,Abril
VERD./HORT. IV GAMA,11783,29991,255,083,,,INTERNET,2016 ,Abril
