Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,93187,82469,088,112,,,INTERNET,2016 ,Noviembre
PATATAS FRESCAS,59610,41781,07,063,,,INTERNET,2016 ,Noviembre
PATATAS CONGELADAS,3657,6229,17,018,,,INTERNET,2016 ,Noviembre
PATATAS PROCESADAS,5984,34459,576,067,,,INTERNET,2016 ,Noviembre
T.HORTALIZAS FRESCAS,1.04049,1.84426,177,225,,,INTERNET,2016 ,Noviembre
TOMATES,20530,33604,164,097,,,INTERNET,2016 ,Noviembre
CEBOLLAS,19104,18992,099,067,,,INTERNET,2016 ,Noviembre
AJOS,1270,6626,522,027,,,INTERNET,2016 ,Noviembre
COLES,3398,3177,093,011,,,INTERNET,2016 ,Noviembre
PEPINOS,3825,4865,127,024,,,INTERNET,2016 ,Noviembre
JUDIAS VERDES,3038,9506,313,021,,,INTERNET,2016 ,Noviembre
PIMIENTOS,6536,12649,194,059,,,INTERNET,2016 ,Noviembre
CHAMPIÑONES+O.SETAS,2199,6935,315,022,,,INTERNET,2016 ,Noviembre
LECHUGA/ESC./ENDIVIA,3784,14463,382,05,,,INTERNET,2016 ,Noviembre
ESPARRAGOS,268,1332,497,002,,,INTERNET,2016 ,Noviembre
VERDURAS DE HOJA,1014,4861,479,016,,,INTERNET,2016 ,Noviembre
BERENJENAS,3181,5653,178,027,,,INTERNET,2016 ,Noviembre
ZANAHORIAS,10110,7110,07,053,,,INTERNET,2016 ,Noviembre
CALABACINES,12649,17431,138,062,,,INTERNET,2016 ,Noviembre
OTR.HORTALIZAS/VERD.,13143,37220,283,07,,,INTERNET,2016 ,Noviembre
VERD./HORT. IV GAMA,5813,28348,488,059,,,INTERNET,2016 ,Noviembre
