Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,59918,59544,099,094,,,INTERNET,2016 ,Septiembre
PATATAS FRESCAS,30010,27811,093,046,,,INTERNET,2016 ,Septiembre
PATATAS CONGELADAS,3070,4062,132,012,,,INTERNET,2016 ,Septiembre
PATATAS PROCESADAS,5368,27671,516,058,,,INTERNET,2016 ,Septiembre
T.HORTALIZAS FRESCAS,74250,1.31926,178,201,,,INTERNET,2016 ,Septiembre
TOMATES,10547,17845,169,068,,,INTERNET,2016 ,Septiembre
CEBOLLAS,20015,18527,093,084,,,INTERNET,2016 ,Septiembre
AJOS,682,3577,525,012,,,INTERNET,2016 ,Septiembre
COLES,1194,2209,185,006,,,INTERNET,2016 ,Septiembre
PEPINOS,1927,3282,17,019,,,INTERNET,2016 ,Septiembre
JUDIAS VERDES,3727,11056,297,028,,,INTERNET,2016 ,Septiembre
PIMIENTOS,4221,8485,201,046,,,INTERNET,2016 ,Septiembre
CHAMPIÑONES+O.SETAS,2048,9648,471,025,,,INTERNET,2016 ,Septiembre
LECHUGA/ESC./ENDIVIA,4733,16016,338,044,,,INTERNET,2016 ,Septiembre
ESPARRAGOS,197,1420,721,003,,,INTERNET,2016 ,Septiembre
VERDURAS DE HOJA,447,1967,44,007,,,INTERNET,2016 ,Septiembre
BERENJENAS,1042,1507,145,014,,,INTERNET,2016 ,Septiembre
ZANAHORIAS,5910,4695,079,032,,,INTERNET,2016 ,Septiembre
CALABACINES,6271,6172,098,038,,,INTERNET,2016 ,Septiembre
OTR.HORTALIZAS/VERD.,11290,25519,226,075,,,INTERNET,2016 ,Septiembre
VERD./HORT. IV GAMA,8457,25620,303,069,,,INTERNET,2016 ,Septiembre
