Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,71245,58417,082,097,,,INTERNET,2017 ,Agosto
PATATAS FRESCAS,43861,28413,065,046,,,INTERNET,2017 ,Agosto
PATATAS CONGELADAS,2276,2938,129,012,,,INTERNET,2017 ,Agosto
PATATAS PROCESADAS,5021,27066,539,058,,,INTERNET,2017 ,Agosto
T.HORTALIZAS FRESCAS,75034,1.56896,209,21,,,INTERNET,2017 ,Agosto
TOMATES,19670,32501,165,063,,,INTERNET,2017 ,Agosto
CEBOLLAS,10722,11195,104,046,,,INTERNET,2017 ,Agosto
AJOS,1494,7352,492,021,,,INTERNET,2017 ,Agosto
COLES,000,000,0,0,,,INTERNET,2017 ,Agosto
PEPINOS,7192,6816,095,038,,,INTERNET,2017 ,Agosto
JUDIAS VERDES,724,2005,277,008,,,INTERNET,2017 ,Agosto
PIMIENTOS,4715,11359,241,039,,,INTERNET,2017 ,Agosto
CHAMPIÑONES+O.SETAS,3213,15340,478,038,,,INTERNET,2017 ,Agosto
LECHUGA/ESC./ENDIVIA,6132,23819,388,053,,,INTERNET,2017 ,Agosto
ESPARRAGOS,338,3038,898,005,,,INTERNET,2017 ,Agosto
VERDURAS DE HOJA,744,3145,423,009,,,INTERNET,2017 ,Agosto
BERENJENAS,861,1642,191,008,,,INTERNET,2017 ,Agosto
ZANAHORIAS,7376,6158,083,05,,,INTERNET,2017 ,Agosto
CALABACINES,3741,4572,122,029,,,INTERNET,2017 ,Agosto
OTR.HORTALIZAS/VERD.,8113,27954,345,09,,,INTERNET,2017 ,Agosto
BROCOLI,2001,3972,199,015,,,INTERNET,2017 ,Agosto
ALCACHOFAS,000,000,0,0,,,INTERNET,2017 ,Agosto
VERD./HORT. IV GAMA,8203,36534,445,085,,,INTERNET,2017 ,Agosto
