Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,94744,81712,086,124,,,INTERNET,2017 ,Marzo
PATATAS FRESCAS,54407,41271,076,069,,,INTERNET,2017 ,Marzo
PATATAS CONGELADAS,2265,2953,13,011,,,INTERNET,2017 ,Marzo
PATATAS PROCESADAS,7614,37488,492,077,,,INTERNET,2017 ,Marzo
T.HORTALIZAS FRESCAS,1.02091,2.09960,206,231,,,INTERNET,2017 ,Marzo
TOMATES,16855,32209,191,089,,,INTERNET,2017 ,Marzo
CEBOLLAS,16171,16047,099,061,,,INTERNET,2017 ,Marzo
AJOS,1288,7788,605,023,,,INTERNET,2017 ,Marzo
COLES,1098,2826,257,01,,,INTERNET,2017 ,Marzo
PEPINOS,4136,7588,183,034,,,INTERNET,2017 ,Marzo
JUDIAS VERDES,3141,8419,268,018,,,INTERNET,2017 ,Marzo
PIMIENTOS,9317,21749,233,062,,,INTERNET,2017 ,Marzo
CHAMPIÑONES+O.SETAS,2318,9677,417,031,,,INTERNET,2017 ,Marzo
LECHUGA/ESC./ENDIVIA,6812,29467,433,054,,,INTERNET,2017 ,Marzo
ESPARRAGOS,074,740,10,002,,,INTERNET,2017 ,Marzo
VERDURAS DE HOJA,1086,5050,465,021,,,INTERNET,2017 ,Marzo
BERENJENAS,2589,3953,153,012,,,INTERNET,2017 ,Marzo
ZANAHORIAS,9973,7543,076,053,,,INTERNET,2017 ,Marzo
CALABACINES,10984,14823,135,05,,,INTERNET,2017 ,Marzo
OTR.HORTALIZAS/VERD.,16249,42080,259,083,,,INTERNET,2017 ,Marzo
BROCOLI,1660,5303,32,017,,,INTERNET,2017 ,Marzo
ALCACHOFAS,3589,4413,123,021,,,INTERNET,2017 ,Marzo
VERD./HORT. IV GAMA,10792,49403,458,078,,,INTERNET,2017 ,Marzo
