Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,97862,1.03368,106,161,,,INTERNET,2019 ,Febrero
PATATAS FRESCAS,45430,44089,097,076,,,INTERNET,2019 ,Febrero
PATATAS CONGELADAS,8982,9906,11,013,,,INTERNET,2019 ,Febrero
PATATAS PROCESADAS,8690,49373,568,098,,,INTERNET,2019 ,Febrero
PATATAS FRITAS,6051,45344,749,091,,,INTERNET,2019 ,Febrero
T.HORTALIZAS FRESCAS,1.26686,2.57268,203,265,,,INTERNET,2019 ,Febrero
TOMATES,22474,43188,192,141,,,INTERNET,2019 ,Febrero
CEBOLLAS,18101,24378,135,078,,,INTERNET,2019 ,Febrero
AJOS,1472,6596,448,025,,,INTERNET,2019 ,Febrero
COLES,10724,7298,068,017,,,INTERNET,2019 ,Febrero
PEPINOS,3946,6971,177,025,,,INTERNET,2019 ,Febrero
JUDIAS VERDES,1435,5883,41,01,,,INTERNET,2019 ,Febrero
PIMIENTOS,7582,15462,204,06,,,INTERNET,2019 ,Febrero
CHAMPIÑONES+O.SETAS,4488,16409,366,035,,,INTERNET,2019 ,Febrero
LECHUGA/ESC./ENDIVIA,9452,29466,312,071,,,INTERNET,2019 ,Febrero
ESPARRAGOS,2252,8212,365,017,,,INTERNET,2019 ,Febrero
VERDURAS DE HOJA,4235,11496,271,033,,,INTERNET,2019 ,Febrero
BERENJENAS,3350,6680,199,029,,,INTERNET,2019 ,Febrero
ZANAHORIAS,11624,9583,082,062,,,INTERNET,2019 ,Febrero
CALABACINES,5346,9111,17,033,,,INTERNET,2019 ,Febrero
OTR.HORTALIZAS/VERD.,20205,56535,28,128,,,INTERNET,2019 ,Febrero
BROCOLI,4349,9591,221,03,,,INTERNET,2019 ,Febrero
ALCACHOFAS,1684,3262,194,013,,,INTERNET,2019 ,Febrero
APIO,485,1117,23,005,,,INTERNET,2019 ,Febrero
COLIFLOR,000,000,0,0,,,INTERNET,2019 ,Febrero
VERD./HORT. IV GAMA,10406,37907,364,079,,,INTERNET,2019 ,Febrero
PUERRO,4195,15232,363,044,,,INTERNET,2019 ,Febrero
