Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,52.55302,46.70700,089,5864,,,SUPERMERCADO,2013 ,Abril
PATATAS FRESCAS,30.70373,24.69142,08,3523,,,SUPERMERCADO,2013 ,Abril
PATATAS CONGELADAS,3.20092,3.79692,119,106,,,SUPERMERCADO,2013 ,Abril
PATATAS PROCESADAS,3.72967,18.21866,488,387,,,SUPERMERCADO,2013 ,Abril
T.HORTALIZAS FRESCAS,95.64611,166.09444,174,8574,,,SUPERMERCADO,2013 ,Abril
TOMATES,20.26341,32.25468,159,5617,,,SUPERMERCADO,2013 ,Abril
CEBOLLAS,11.87691,11.97896,101,389,,,SUPERMERCADO,2013 ,Abril
AJOS,1.03023,4.74235,46,1781,,,SUPERMERCADO,2013 ,Abril
COLES,2.22779,2.47793,111,918,,,SUPERMERCADO,2013 ,Abril
PEPINOS,3.89672,4.84153,124,1912,,,SUPERMERCADO,2013 ,Abril
JUDIAS VERDES,3.42490,7.82336,228,1939,,,SUPERMERCADO,2013 ,Abril
PIMIENTOS,6.83861,14.97724,219,3955,,,SUPERMERCADO,2013 ,Abril
CHAMPIÑONES+O.SETAS,2.71839,9.30649,342,2321,,,SUPERMERCADO,2013 ,Abril
LECHUGA/ESC./ENDIVIA,6.45662,14.89157,231,3542,,,SUPERMERCADO,2013 ,Abril
ESPARRAGOS,1.04918,2.96405,283,756,,,SUPERMERCADO,2013 ,Abril
VERDURAS DE HOJA,1.10269,3.47924,316,1011,,,SUPERMERCADO,2013 ,Abril
BERENJENAS,1.86072,2.56724,138,1314,,,SUPERMERCADO,2013 ,Abril
ZANAHORIAS,7.53168,6.00666,08,3391,,,SUPERMERCADO,2013 ,Abril
CALABACINES,6.88766,8.35515,121,2915,,,SUPERMERCADO,2013 ,Abril
OTR.HORTALIZAS/VERD.,18.48059,39.42798,213,5803,,,SUPERMERCADO,2013 ,Abril
VERD./HORT. IV GAMA,7.28079,23.73420,326,3787,,,SUPERMERCADO,2013 ,Abril
VERD./HORT. ECOLOGIC,3.19017,5.53153,173,941,,,SUPERMERCADO,2013 ,Abril
