Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,48.28445,40.76176,084,5522,,,SUPERMERCADO,2013 ,Febrero
PATATAS FRESCAS,28.64813,21.45699,075,3136,,,SUPERMERCADO,2013 ,Febrero
PATATAS CONGELADAS,2.90059,3.35343,116,976,,,SUPERMERCADO,2013 ,Febrero
PATATAS PROCESADAS,3.34715,15.95135,477,3556,,,SUPERMERCADO,2013 ,Febrero
T.HORTALIZAS FRESCAS,80.67559,138.38263,172,8239,,,SUPERMERCADO,2013 ,Febrero
TOMATES,15.43363,22.72635,147,4976,,,SUPERMERCADO,2013 ,Febrero
CEBOLLAS,11.04886,10.08759,091,3633,,,SUPERMERCADO,2013 ,Febrero
AJOS,88366,4.13563,468,1522,,,SUPERMERCADO,2013 ,Febrero
COLES,2.55595,2.89459,113,1033,,,SUPERMERCADO,2013 ,Febrero
PEPINOS,1.95760,3.20821,164,12,,,SUPERMERCADO,2013 ,Febrero
JUDIAS VERDES,2.31542,7.05919,305,1542,,,SUPERMERCADO,2013 ,Febrero
PIMIENTOS,6.04793,11.60178,192,3535,,,SUPERMERCADO,2013 ,Febrero
CHAMPIÑONES+O.SETAS,2.51275,8.71735,347,2169,,,SUPERMERCADO,2013 ,Febrero
LECHUGA/ESC./ENDIVIA,5.82746,12.85872,221,3297,,,SUPERMERCADO,2013 ,Febrero
ESPARRAGOS,19041,82076,431,174,,,SUPERMERCADO,2013 ,Febrero
VERDURAS DE HOJA,1.17967,3.25669,276,1045,,,SUPERMERCADO,2013 ,Febrero
BERENJENAS,1.35395,2.76616,204,1022,,,SUPERMERCADO,2013 ,Febrero
ZANAHORIAS,6.23210,4.81034,077,2999,,,SUPERMERCADO,2013 ,Febrero
CALABACINES,5.60664,7.90862,141,2507,,,SUPERMERCADO,2013 ,Febrero
OTR.HORTALIZAS/VERD.,17.52957,35.53064,203,5601,,,SUPERMERCADO,2013 ,Febrero
VERD./HORT. IV GAMA,5.83897,18.63850,319,3416,,,SUPERMERCADO,2013 ,Febrero
VERD./HORT. ECOLOGIC,2.93894,4.82877,164,833,,,SUPERMERCADO,2013 ,Febrero
