Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,53.64542,45.67313,085,5741,,,SUPERMERCADO,2014 ,Enero
PATATAS FRESCAS,32.18912,24.33879,076,3506,,,SUPERMERCADO,2014 ,Enero
PATATAS CONGELADAS,3.41761,4.06917,119,1075,,,SUPERMERCADO,2014 ,Enero
PATATAS PROCESADAS,3.60774,17.26517,479,3627,,,SUPERMERCADO,2014 ,Enero
T.HORTALIZAS FRESCAS,92.27134,166.53058,18,8513,,,SUPERMERCADO,2014 ,Enero
TOMATES,16.83223,26.43664,157,524,,,SUPERMERCADO,2014 ,Enero
CEBOLLAS,11.91518,10.94688,092,3954,,,SUPERMERCADO,2014 ,Enero
AJOS,1.07278,4.77129,445,1856,,,SUPERMERCADO,2014 ,Enero
COLES,3.38355,3.56037,105,1209,,,SUPERMERCADO,2014 ,Enero
PEPINOS,2.27864,3.47455,152,1434,,,SUPERMERCADO,2014 ,Enero
JUDIAS VERDES,3.00839,8.14224,271,185,,,SUPERMERCADO,2014 ,Enero
PIMIENTOS,6.90012,12.68917,184,3952,,,SUPERMERCADO,2014 ,Enero
CHAMPIÑONES+O.SETAS,3.19643,11.84726,371,2795,,,SUPERMERCADO,2014 ,Enero
LECHUGA/ESC./ENDIVIA,6.17362,14.83959,24,3624,,,SUPERMERCADO,2014 ,Enero
ESPARRAGOS,31989,1.22691,384,24,,,SUPERMERCADO,2014 ,Enero
VERDURAS DE HOJA,1.38407,4.48322,324,1249,,,SUPERMERCADO,2014 ,Enero
BERENJENAS,1.97860,3.76770,19,137,,,SUPERMERCADO,2014 ,Enero
ZANAHORIAS,7.81883,6.01172,077,3624,,,SUPERMERCADO,2014 ,Enero
CALABACINES,5.85094,11.27026,193,266,,,SUPERMERCADO,2014 ,Enero
OTR.HORTALIZAS/VERD.,20.15808,43.06277,214,6097,,,SUPERMERCADO,2014 ,Enero
VERD./HORT. IV GAMA,6.31536,23.08732,366,3831,,,SUPERMERCADO,2014 ,Enero
VERD./HORT. ECOLOGIC,2.94291,5.25044,178,895,,,SUPERMERCADO,2014 ,Enero
