Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,48.04226,39.34526,082,5614,,,SUPERMERCADO,2014 ,Julio
PATATAS FRESCAS,26.68499,17.29259,065,3097,,,SUPERMERCADO,2014 ,Julio
PATATAS CONGELADAS,2.73083,2.99780,11,886,,,SUPERMERCADO,2014 ,Julio
PATATAS PROCESADAS,3.72529,19.05487,512,3915,,,SUPERMERCADO,2014 ,Julio
T.HORTALIZAS FRESCAS,79.96242,126.02509,158,8185,,,SUPERMERCADO,2014 ,Julio
TOMATES,21.49436,27.50046,128,5197,,,SUPERMERCADO,2014 ,Julio
CEBOLLAS,10.07607,9.86334,098,3563,,,SUPERMERCADO,2014 ,Julio
AJOS,88023,3.72020,423,1611,,,SUPERMERCADO,2014 ,Julio
COLES,1.23041,1.29363,105,487,,,SUPERMERCADO,2014 ,Julio
PEPINOS,5.64013,5.40885,096,2767,,,SUPERMERCADO,2014 ,Julio
JUDIAS VERDES,2.10467,5.15835,245,145,,,SUPERMERCADO,2014 ,Julio
PIMIENTOS,6.65856,11.33463,17,3917,,,SUPERMERCADO,2014 ,Julio
CHAMPIÑONES+O.SETAS,1.91637,7.28732,38,2076,,,SUPERMERCADO,2014 ,Julio
LECHUGA/ESC./ENDIVIA,5.83799,13.88323,238,349,,,SUPERMERCADO,2014 ,Julio
ESPARRAGOS,39014,1.39499,358,309,,,SUPERMERCADO,2014 ,Julio
VERDURAS DE HOJA,83723,3.28280,392,97,,,SUPERMERCADO,2014 ,Julio
BERENJENAS,1.83932,2.14979,117,1226,,,SUPERMERCADO,2014 ,Julio
ZANAHORIAS,6.30647,4.62263,073,3004,,,SUPERMERCADO,2014 ,Julio
CALABACINES,4.83057,4.86410,101,2206,,,SUPERMERCADO,2014 ,Julio
OTR.HORTALIZAS/VERD.,9.91992,24.26075,245,4553,,,SUPERMERCADO,2014 ,Julio
VERD./HORT. IV GAMA,5.25821,19.85326,378,3448,,,SUPERMERCADO,2014 ,Julio
VERD./HORT. ECOLOGIC,3.15480,4.84523,154,822,,,SUPERMERCADO,2014 ,Julio
