Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,50.93614,37.98216,075,5716,,,SUPERMERCADO,2014 ,Octubre
PATATAS FRESCAS,31.80283,19.00856,06,353,,,SUPERMERCADO,2014 ,Octubre
PATATAS CONGELADAS,2.43626,2.69528,111,795,,,SUPERMERCADO,2014 ,Octubre
PATATAS PROCESADAS,3.33941,16.27832,487,3563,,,SUPERMERCADO,2014 ,Octubre
T.HORTALIZAS FRESCAS,83.86017,144.86016,173,83,,,SUPERMERCADO,2014 ,Octubre
TOMATES,17.57585,26.91836,153,492,,,SUPERMERCADO,2014 ,Octubre
CEBOLLAS,10.67829,10.00223,094,3552,,,SUPERMERCADO,2014 ,Octubre
AJOS,88486,3.93434,445,1682,,,SUPERMERCADO,2014 ,Octubre
COLES,1.92388,2.01812,105,808,,,SUPERMERCADO,2014 ,Octubre
PEPINOS,3.07955,4.30221,14,1784,,,SUPERMERCADO,2014 ,Octubre
JUDIAS VERDES,2.14686,6.10769,284,1443,,,SUPERMERCADO,2014 ,Octubre
PIMIENTOS,5.83124,9.02630,155,3232,,,SUPERMERCADO,2014 ,Octubre
CHAMPIÑONES+O.SETAS,2.49477,10.16007,407,2406,,,SUPERMERCADO,2014 ,Octubre
LECHUGA/ESC./ENDIVIA,6.38876,15.02713,235,3613,,,SUPERMERCADO,2014 ,Octubre
ESPARRAGOS,36451,1.56441,429,298,,,SUPERMERCADO,2014 ,Octubre
VERDURAS DE HOJA,1.15336,4.14585,359,1236,,,SUPERMERCADO,2014 ,Octubre
BERENJENAS,1.81094,2.27576,126,1298,,,SUPERMERCADO,2014 ,Octubre
ZANAHORIAS,7.50469,5.46368,073,349,,,SUPERMERCADO,2014 ,Octubre
CALABACINES,5.41969,7.93323,146,2361,,,SUPERMERCADO,2014 ,Octubre
OTR.HORTALIZAS/VERD.,16.60292,35.98078,217,5458,,,SUPERMERCADO,2014 ,Octubre
VERD./HORT. IV GAMA,6.47085,23.53703,364,3675,,,SUPERMERCADO,2014 ,Octubre
VERD./HORT. ECOLOGIC,3.39655,5.68152,167,761,,,SUPERMERCADO,2014 ,Octubre
