Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,47.91777,43.83976,091,5543,,,SUPERMERCADO,2016 ,Agosto
PATATAS FRESCAS,28.18274,23.34636,083,3453,,,SUPERMERCADO,2016 ,Agosto
PATATAS CONGELADAS,2.52378,2.87683,114,822,,,SUPERMERCADO,2016 ,Agosto
PATATAS PROCESADAS,3.44225,17.61657,512,3643,,,SUPERMERCADO,2016 ,Agosto
T.HORTALIZAS FRESCAS,75.50109,131.15168,174,8019,,,SUPERMERCADO,2016 ,Agosto
TOMATES,19.66218,28.92051,147,50,,,SUPERMERCADO,2016 ,Agosto
CEBOLLAS,10.48434,10.80943,103,3665,,,SUPERMERCADO,2016 ,Agosto
AJOS,64223,3.31239,516,1256,,,SUPERMERCADO,2016 ,Agosto
COLES,83245,91282,11,398,,,SUPERMERCADO,2016 ,Agosto
PEPINOS,4.96499,5.40697,109,2478,,,SUPERMERCADO,2016 ,Agosto
JUDIAS VERDES,1.81273,4.87801,269,1134,,,SUPERMERCADO,2016 ,Agosto
PIMIENTOS,6.63449,12.12847,183,3765,,,SUPERMERCADO,2016 ,Agosto
CHAMPIÑONES+O.SETAS,1.74237,6.74599,387,1816,,,SUPERMERCADO,2016 ,Agosto
LECHUGA/ESC./ENDIVIA,6.19429,19.20953,31,4011,,,SUPERMERCADO,2016 ,Agosto
ESPARRAGOS,29528,1.14441,388,247,,,SUPERMERCADO,2016 ,Agosto
VERDURAS DE HOJA,72915,3.06995,421,101,,,SUPERMERCADO,2016 ,Agosto
BERENJENAS,1.64967,2.27095,138,1161,,,SUPERMERCADO,2016 ,Agosto
ZANAHORIAS,6.27075,4.61357,074,3058,,,SUPERMERCADO,2016 ,Agosto
CALABACINES,4.72127,5.38884,114,2165,,,SUPERMERCADO,2016 ,Agosto
OTR.HORTALIZAS/VERD.,8.86489,22.33983,252,4394,,,SUPERMERCADO,2016 ,Agosto
VERD./HORT. IV GAMA,7.30010,25.79553,353,4016,,,SUPERMERCADO,2016 ,Agosto
