Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,57.96635,47.69939,082,594,,,SUPERMERCADO,2016 ,Marzo
PATATAS FRESCAS,36.28462,25.78127,071,3917,,,SUPERMERCADO,2016 ,Marzo
PATATAS CONGELADAS,2.84506,3.12793,11,875,,,SUPERMERCADO,2016 ,Marzo
PATATAS PROCESADAS,3.76733,18.79018,499,3762,,,SUPERMERCADO,2016 ,Marzo
T.HORTALIZAS FRESCAS,90.93269,164.50261,181,8678,,,SUPERMERCADO,2016 ,Marzo
TOMATES,18.50107,28.72600,155,5529,,,SUPERMERCADO,2016 ,Marzo
CEBOLLAS,12.40541,13.08740,105,4187,,,SUPERMERCADO,2016 ,Marzo
AJOS,1.08901,4.95604,455,1872,,,SUPERMERCADO,2016 ,Marzo
COLES,2.45896,2.54870,104,1032,,,SUPERMERCADO,2016 ,Marzo
PEPINOS,2.70734,3.42061,126,148,,,SUPERMERCADO,2016 ,Marzo
JUDIAS VERDES,3.21347,7.71837,24,185,,,SUPERMERCADO,2016 ,Marzo
PIMIENTOS,6.48448,14.82634,229,3908,,,SUPERMERCADO,2016 ,Marzo
CHAMPIÑONES+O.SETAS,2.63024,10.02140,381,2398,,,SUPERMERCADO,2016 ,Marzo
LECHUGA/ESC./ENDIVIA,6.51315,20.81258,32,433,,,SUPERMERCADO,2016 ,Marzo
ESPARRAGOS,57016,2.12823,373,389,,,SUPERMERCADO,2016 ,Marzo
VERDURAS DE HOJA,1.35073,4.63305,343,1393,,,SUPERMERCADO,2016 ,Marzo
BERENJENAS,2.29072,3.04056,133,1456,,,SUPERMERCADO,2016 ,Marzo
ZANAHORIAS,7.47278,5.32410,071,3461,,,SUPERMERCADO,2016 ,Marzo
CALABACINES,6.59254,8.10132,123,2771,,,SUPERMERCADO,2016 ,Marzo
OTR.HORTALIZAS/VERD.,16.65262,35.15790,211,5527,,,SUPERMERCADO,2016 ,Marzo
VERD./HORT. IV GAMA,7.89194,28.58434,362,4406,,,SUPERMERCADO,2016 ,Marzo
