Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,57.99832,46.52984,08,5952,,,SUPERMERCADO,2017 ,Septiembre
PATATAS FRESCAS,36.93731,24.69249,067,3937,,,SUPERMERCADO,2017 ,Septiembre
PATATAS CONGELADAS,2.66449,3.23559,121,896,,,SUPERMERCADO,2017 ,Septiembre
PATATAS PROCESADAS,3.67930,18.60176,506,3832,,,SUPERMERCADO,2017 ,Septiembre
T.HORTALIZAS FRESCAS,83.93107,156.23945,186,8492,,,SUPERMERCADO,2017 ,Septiembre
TOMATES,18.82516,28.85503,153,5255,,,SUPERMERCADO,2017 ,Septiembre
CEBOLLAS,11.23669,11.79210,105,3882,,,SUPERMERCADO,2017 ,Septiembre
AJOS,87922,4.01077,456,1564,,,SUPERMERCADO,2017 ,Septiembre
COLES,1.65798,1.84347,111,776,,,SUPERMERCADO,2017 ,Septiembre
PEPINOS,3.97116,4.86864,123,2203,,,SUPERMERCADO,2017 ,Septiembre
JUDIAS VERDES,2.12099,6.63644,313,1396,,,SUPERMERCADO,2017 ,Septiembre
PIMIENTOS,5.90390,11.42518,194,3543,,,SUPERMERCADO,2017 ,Septiembre
CHAMPIÑONES+O.SETAS,2.37770,9.76954,411,2321,,,SUPERMERCADO,2017 ,Septiembre
LECHUGA/ESC./ENDIVIA,6.60196,20.71498,314,4325,,,SUPERMERCADO,2017 ,Septiembre
ESPARRAGOS,42115,1.90213,452,361,,,SUPERMERCADO,2017 ,Septiembre
VERDURAS DE HOJA,1.25061,4.58460,367,1208,,,SUPERMERCADO,2017 ,Septiembre
BERENJENAS,1.50253,2.61626,174,1074,,,SUPERMERCADO,2017 ,Septiembre
ZANAHORIAS,7.77461,5.61504,072,3558,,,SUPERMERCADO,2017 ,Septiembre
CALABACINES,4.70472,7.05007,15,2289,,,SUPERMERCADO,2017 ,Septiembre
OTR.HORTALIZAS/VERD.,14.70269,34.55520,235,5491,,,SUPERMERCADO,2017 ,Septiembre
BROCOLI,1.92643,3.47146,18,1223,,,SUPERMERCADO,2017 ,Septiembre
ALCACHOFAS,28352,76079,268,215,,,SUPERMERCADO,2017 ,Septiembre
VERD./HORT. IV GAMA,8.87986,31.89938,359,4731,,,SUPERMERCADO,2017 ,Septiembre
