Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,59.90466,55.77718,093,6267,,,SUPERMERCADO,2018 ,Diciembre
PATATAS FRESCAS,34.50382,29.17660,085,3948,,,SUPERMERCADO,2018 ,Diciembre
PATATAS CONGELADAS,3.16551,3.77764,119,929,,,SUPERMERCADO,2018 ,Diciembre
PATATAS PROCESADAS,4.44707,22.82294,513,4174,,,SUPERMERCADO,2018 ,Diciembre
PATATAS FRITAS,3.62050,21.60151,597,4012,,,SUPERMERCADO,2018 ,Diciembre
T.HORTALIZAS FRESCAS,88.97084,177.23152,199,8586,,,SUPERMERCADO,2018 ,Diciembre
TOMATES,17.66151,32.85175,186,5528,,,SUPERMERCADO,2018 ,Diciembre
CEBOLLAS,12.90005,14.72289,114,4233,,,SUPERMERCADO,2018 ,Diciembre
AJOS,97367,4.57541,47,1695,,,SUPERMERCADO,2018 ,Diciembre
COLES,2.51335,3.20223,127,1015,,,SUPERMERCADO,2018 ,Diciembre
PEPINOS,2.15557,3.32606,154,1257,,,SUPERMERCADO,2018 ,Diciembre
JUDIAS VERDES,2.21293,6.20252,28,1416,,,SUPERMERCADO,2018 ,Diciembre
PIMIENTOS,6.41623,13.15901,205,38,,,SUPERMERCADO,2018 ,Diciembre
CHAMPIÑONES+O.SETAS,3.01736,12.38733,411,2664,,,SUPERMERCADO,2018 ,Diciembre
LECHUGA/ESC./ENDIVIA,6.00581,19.56499,326,4145,,,SUPERMERCADO,2018 ,Diciembre
ESPARRAGOS,35991,1.95465,543,38,,,SUPERMERCADO,2018 ,Diciembre
VERDURAS DE HOJA,1.13023,4.25573,377,1257,,,SUPERMERCADO,2018 ,Diciembre
BERENJENAS,1.65514,2.87792,174,1276,,,SUPERMERCADO,2018 ,Diciembre
ZANAHORIAS,7.25749,5.86656,081,3388,,,SUPERMERCADO,2018 ,Diciembre
CALABACINES,5.83034,8.94876,153,2618,,,SUPERMERCADO,2018 ,Diciembre
OTR.HORTALIZAS/VERD.,18.88125,43.33570,23,5915,,,SUPERMERCADO,2018 ,Diciembre
BROCOLI,2.02877,3.40871,168,1274,,,SUPERMERCADO,2018 ,Diciembre
ALCACHOFAS,1.57561,3.39009,215,738,,,SUPERMERCADO,2018 ,Diciembre
VERD./HORT. IV GAMA,12.97512,39.73593,306,5301,,,SUPERMERCADO,2018 ,Diciembre
