Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,55.24301,56.11617,102,6124,,,SUPERMERCADO,2019 ,Mayo
PATATAS FRESCAS,32.14147,31.28516,097,3929,,,SUPERMERCADO,2019 ,Mayo
PATATAS CONGELADAS,2.83679,3.49464,123,888,,,SUPERMERCADO,2019 ,Mayo
PATATAS PROCESADAS,4.05295,21.33637,526,4083,,,SUPERMERCADO,2019 ,Mayo
PATATAS FRITAS,3.35812,20.31594,605,3916,,,SUPERMERCADO,2019 ,Mayo
T.HORTALIZAS FRESCAS,106.10548,213.12751,201,8826,,,SUPERMERCADO,2019 ,Mayo
TOMATES,25.65150,43.49280,17,6212,,,SUPERMERCADO,2019 ,Mayo
CEBOLLAS,12.54207,18.23361,145,4319,,,SUPERMERCADO,2019 ,Mayo
AJOS,88743,4.31610,486,1652,,,SUPERMERCADO,2019 ,Mayo
COLES,1.82367,2.37068,13,813,,,SUPERMERCADO,2019 ,Mayo
PEPINOS,4.71240,6.51643,138,2468,,,SUPERMERCADO,2019 ,Mayo
JUDIAS VERDES,2.49774,7.16954,287,145,,,SUPERMERCADO,2019 ,Mayo
PIMIENTOS,8.12889,17.80576,219,424,,,SUPERMERCADO,2019 ,Mayo
CHAMPIÑONES+O.SETAS,3.02276,12.74234,422,2793,,,SUPERMERCADO,2019 ,Mayo
LECHUGA/ESC./ENDIVIA,8.72857,27.08252,31,513,,,SUPERMERCADO,2019 ,Mayo
ESPARRAGOS,1.85124,6.16052,333,1409,,,SUPERMERCADO,2019 ,Mayo
VERDURAS DE HOJA,1.31524,4.92416,374,1417,,,SUPERMERCADO,2019 ,Mayo
BERENJENAS,2.51426,3.34304,133,1564,,,SUPERMERCADO,2019 ,Mayo
ZANAHORIAS,8.23371,7.17660,087,364,,,SUPERMERCADO,2019 ,Mayo
CALABACINES,8.04627,9.87288,123,326,,,SUPERMERCADO,2019 ,Mayo
OTR.HORTALIZAS/VERD.,16.14973,41.92052,26,5525,,,SUPERMERCADO,2019 ,Mayo
BROCOLI,2.50266,4.71795,189,1394,,,SUPERMERCADO,2019 ,Mayo
ALCACHOFAS,2.09149,3.20528,153,1028,,,SUPERMERCADO,2019 ,Mayo
APIO,71934,1.03259,144,433,,,SUPERMERCADO,2019 ,Mayo
COLIFLOR,1.33114,2.14686,161,531,,,SUPERMERCADO,2019 ,Mayo
VERD./HORT. IV GAMA,14.26857,47.04860,33,5509,,,SUPERMERCADO,2019 ,Mayo
PUERRO,1.69104,4.77380,282,1407,,,SUPERMERCADO,2019 ,Mayo
