Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,54.33885,55.33879,102,6174,,,SUPERMERCADO,2019 ,Noviembre
PATATAS FRESCAS,31.29484,31.65121,101,3897,,,SUPERMERCADO,2019 ,Noviembre
PATATAS CONGELADAS,2.82000,3.42626,121,879,,,SUPERMERCADO,2019 ,Noviembre
PATATAS PROCESADAS,4.04480,20.26132,501,3971,,,SUPERMERCADO,2019 ,Noviembre
PATATAS FRITAS,3.29187,19.21654,584,3799,,,SUPERMERCADO,2019 ,Noviembre
T.HORTALIZAS FRESCAS,94.30040,191.59242,203,865,,,SUPERMERCADO,2019 ,Noviembre
TOMATES,19.24604,33.69092,175,5505,,,SUPERMERCADO,2019 ,Noviembre
CEBOLLAS,11.24003,14.59454,13,3849,,,SUPERMERCADO,2019 ,Noviembre
AJOS,84179,4.00910,476,1423,,,SUPERMERCADO,2019 ,Noviembre
COLES,3.25449,3.65715,112,1143,,,SUPERMERCADO,2019 ,Noviembre
PEPINOS,2.74919,3.93771,143,1608,,,SUPERMERCADO,2019 ,Noviembre
JUDIAS VERDES,2.32984,7.35440,316,1531,,,SUPERMERCADO,2019 ,Noviembre
PIMIENTOS,7.09360,14.17004,2,3876,,,SUPERMERCADO,2019 ,Noviembre
CHAMPIÑONES+O.SETAS,3.26766,14.29279,437,2952,,,SUPERMERCADO,2019 ,Noviembre
LECHUGA/ESC./ENDIVIA,7.16739,22.87358,319,4547,,,SUPERMERCADO,2019 ,Noviembre
ESPARRAGOS,60273,2.59606,431,503,,,SUPERMERCADO,2019 ,Noviembre
VERDURAS DE HOJA,1.21233,4.43797,366,1328,,,SUPERMERCADO,2019 ,Noviembre
BERENJENAS,2.30486,3.69714,16,1492,,,SUPERMERCADO,2019 ,Noviembre
ZANAHORIAS,8.57133,6.96054,081,3712,,,SUPERMERCADO,2019 ,Noviembre
CALABACINES,6.65285,9.61914,145,3017,,,SUPERMERCADO,2019 ,Noviembre
OTR.HORTALIZAS/VERD.,17.76628,45.70134,257,5581,,,SUPERMERCADO,2019 ,Noviembre
BROCOLI,2.35448,4.99772,212,1392,,,SUPERMERCADO,2019 ,Noviembre
ALCACHOFAS,51732,1.48362,287,377,,,SUPERMERCADO,2019 ,Noviembre
APIO,62754,1.17560,187,488,,,SUPERMERCADO,2019 ,Noviembre
COLIFLOR,1.83936,3.68478,2,737,,,SUPERMERCADO,2019 ,Noviembre
VERD./HORT. IV GAMA,12.68627,40.54703,32,5171,,,SUPERMERCADO,2019 ,Noviembre
PUERRO,2.25146,6.10324,271,1741,,,SUPERMERCADO,2019 ,Noviembre
