Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,56.23035,60.10639,107,6218,,,SUPERMERCADO,2020 ,Junio
PATATAS FRESCAS,31.13145,32.57596,105,3849,,,SUPERMERCADO,2020 ,Junio
PATATAS CONGELADAS,2.96786,3.57143,12,855,,,SUPERMERCADO,2020 ,Junio
PATATAS PROCESADAS,4.42621,23.95900,541,4216,,,SUPERMERCADO,2020 ,Junio
PATATAS FRITAS,3.84397,23.08096,6,4098,,,SUPERMERCADO,2020 ,Junio
T.HORTALIZAS FRESCAS,113.11680,228.66720,202,8899,,,SUPERMERCADO,2020 ,Junio
TOMATES,29.71670,51.15308,172,6386,,,SUPERMERCADO,2020 ,Junio
CEBOLLAS,13.16527,17.83209,135,4387,,,SUPERMERCADO,2020 ,Junio
AJOS,97363,4.80256,493,1739,,,SUPERMERCADO,2020 ,Junio
COLES,1.97411,2.24995,114,815,,,SUPERMERCADO,2020 ,Junio
PEPINOS,5.89755,8.83273,15,2903,,,SUPERMERCADO,2020 ,Junio
JUDIAS VERDES,2.10570,6.89096,327,1354,,,SUPERMERCADO,2020 ,Junio
PIMIENTOS,10.14683,22.52331,222,4892,,,SUPERMERCADO,2020 ,Junio
CHAMPIÑONES+O.SETAS,3.53136,15.20333,431,3057,,,SUPERMERCADO,2020 ,Junio
LECHUGA/ESC./ENDIVIA,9.56291,28.44636,297,5224,,,SUPERMERCADO,2020 ,Junio
ESPARRAGOS,66876,2.99314,448,627,,,SUPERMERCADO,2020 ,Junio
VERDURAS DE HOJA,1.41056,5.78519,41,1533,,,SUPERMERCADO,2020 ,Junio
BERENJENAS,3.43352,5.78040,168,1931,,,SUPERMERCADO,2020 ,Junio
ZANAHORIAS,9.48083,8.01951,085,3879,,,SUPERMERCADO,2020 ,Junio
CALABACINES,8.64004,11.65641,135,3471,,,SUPERMERCADO,2020 ,Junio
OTR.HORTALIZAS/VERD.,12.40903,36.49818,294,511,,,SUPERMERCADO,2020 ,Junio
BROCOLI,1.84040,4.73898,257,1186,,,SUPERMERCADO,2020 ,Junio
ALCACHOFAS,62606,1.29664,207,514,,,SUPERMERCADO,2020 ,Junio
APIO,56238,1.10084,196,441,,,SUPERMERCADO,2020 ,Junio
COLIFLOR,81218,1.60284,197,389,,,SUPERMERCADO,2020 ,Junio
VERD./HORT. IV GAMA,13.63488,44.17081,324,5333,,,SUPERMERCADO,2020 ,Junio
PUERRO,1.54069,4.43655,288,1315,,,SUPERMERCADO,2020 ,Junio
