Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2018-03,2018,3,Total Nacional,T.HORTALIZAS FRESCAS,221895.39,401447.35,1.81,96.84,4.86,8.8
2018-03,2018,3,Total Nacional,T.FRUTAS FRESCAS,323953.56,515564.86,1.59,95.65,7.1,11.3
2018-04,2018,4,Total Nacional,T.HORTALIZAS FRESCAS,229968.6,403938.46,1.76,97.29,5.04,8.85
2018-04,2018,4,Total Nacional,T.FRUTAS FRESCAS,328838.75,529178.36,1.61,95.86,7.21,11.6
2018-05,2018,5,Total Nacional,T.HORTALIZAS FRESCAS,227602.54,402871.85,1.77,97.24,4.99,8.83
2018-05,2018,5,Total Nacional,T.FRUTAS FRESCAS,352281.86,584041.18,1.66,96.25,7.72,12.8
2018-06,2018,6,Total Nacional,T.HORTALIZAS FRESCAS,219838.33,380514.0,1.73,97.1,4.82,8.34
2018-06,2018,6,Total Nacional,T.FRUTAS FRESCAS,392425.29,636499.88,1.62,95.66,8.6,13.95
2018-07,2018,7,Total Nacional,T.HORTALIZAS FRESCAS,224466.72,378657.19,1.69,95.7,4.92,8.3
2018-07,2018,7,Total Nacional,T.FRUTAS FRESCAS,407395.18,589757.57,1.45,94.53,8.93,12.92
2018-08,2018,8,Total Nacional,T.HORTALIZAS FRESCAS,212940.55,361096.92,1.7,92.01,4.67,7.91
2018-08,2018,8,Total Nacional,T.FRUTAS FRESCAS,377138.76,522444.54,1.39,90.92,8.26,11.45
2018-09,2018,9,Total Nacional,T.HORTALIZAS FRESCAS,242615.08,444709.08,1.83,95.1,5.32,9.75
2018-09,2018,9,Total Nacional,T.FRUTAS FRESCAS,382391.45,551663.52,1.44,93.98,8.38,12.09
2018-10,2018,10,Total Nacional,T.HORTALIZAS FRESCAS,227552.96,425496.43,1.87,96.4,4.99,9.32
2018-10,2018,10,Total Nacional,T.FRUTAS FRESCAS,352756.55,586426.38,1.66,94.86,7.73,12.85
2018-11,2018,11,Total Nacional,T.HORTALIZAS FRESCAS,198015.71,379194.59,1.91,96.2,4.34,8.31
2018-11,2018,11,Total Nacional,T.FRUTAS FRESCAS,317603.53,498882.17,1.57,94.54,6.96,10.93
2019-03,2019,3,Total Nacional,T.HORTALIZAS FRESCAS,228602.28,426579.89,1.87,97.04,4.96,9.25
2019-03,2019,3,Total Nacional,T.FRUTAS FRESCAS,339129.81,542032.77,1.6,96.35,7.35,11.75
2019-04,2019,4,Total Nacional,T.HORTALIZAS FRESCAS,210916.55,399422.96,1.89,96.88,4.57,8.66
2019-04,2019,4,Total Nacional,T.FRUTAS FRESCAS,320577.94,493202.08,1.54,96.68,6.95,10.69
2019-05,2019,5,Total Nacional,T.HORTALIZAS FRESCAS,227480.0,422079.9,1.86,97.13,4.93,9.15
2019-05,2019,5,Total Nacional,T.FRUTAS FRESCAS,370503.85,580001.11,1.57,96.42,8.03,12.57
2019-06,2019,6,Total Nacional,T.HORTALIZAS FRESCAS,218983.07,400928.82,1.83,96.64,4.75,8.69
2019-06,2019,6,Total Nacional,T.FRUTAS FRESCAS,396242.69,630230.22,1.59,95.61,8.59,13.66
2019-07,2019,7,Total Nacional,T.HORTALIZAS FRESCAS,235630.49,432441.46,1.84,95.83,5.11,9.38
2019-07,2019,7,Total Nacional,T.FRUTAS FRESCAS,431303.03,601910.2,1.4,94.92,9.35,13.05
2019-08,2019,8,Total Nacional,T.HORTALIZAS FRESCAS,223772.75,408822.04,1.83,92.62,4.85,8.86
2019-08,2019,8,Total Nacional,T.FRUTAS FRESCAS,387824.56,507238.87,1.31,91.55,8.41,11.0
2019-09,2019,9,Total Nacional,T.HORTALIZAS FRESCAS,229766.03,427987.18,1.86,94.94,4.98,9.28
2019-09,2019,9,Total Nacional,T.FRUTAS FRESCAS,368526.43,550008.06,1.49,93.62,7.99,11.92
2019-10,2019,10,Total Nacional,T.HORTALIZAS FRESCAS,231953.35,439834.42,1.9,96.26,5.03,9.54
