NOMBRE ESTACIÓN,VARIABLE,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Anual
San Pablo de los Montes (Toledo),SO2,0.15,0.17,0.15,0.22,0.15,0.29,0.29,0.58,0.27,0.19,0.14,0.15,0.23
San Pablo de los Montes (Toledo),O3,69.0,76.0,87.0,93.0,96.0,91.0,102.0,108.0,101.0,75.0,72.0,64.0,86.0
San Pablo de los Montes (Toledo),NO,0.17,0.2,0.1,0.11,0.14,0.14,0.1,0.15,0.2,0.2,0.14,0.25,0.16
San Pablo de los Montes (Toledo),NO2,1.6,1.75,0.48,0.71,0.95,0.89,0.48,1.19,1.6,1.52,0.99,1.68,1.14
Noia (A Coruña),SO2,0.91,1.61,0.69,0.82,1.26,1.05,1.14,2.23,1.39,1.23,0.73,0.86,1.16
Noia (A Coruña),O3,64.0,68.0,72.0,78.0,82.0,63.0,62.0,67.0,73.0,69.0,60.0,63.0,68.0
Noia (A Coruña),NO,0.2,0.32,0.2,0.23,0.27,0.32,0.36,0.3,0.27,0.3,0.17,0.19,0.27
Noia (A Coruña),NO2,2.77,3.69,2.33,2.6,3.14,2.91,3.41,3.22,3.55,3.54,2.64,2.49,3.02
Mahón (Islas Baleares),SO2,0.41,0.48,0.49,0.41,0.45,0.44,0.46,0.36,0.41,0.42,0.5,0.65,0.46
Mahón (Islas Baleares),O3,71.0,78.0,88.0,103.0,95.0,99.0,97.0,92.0,80.0,71.0,69.0,61.0,85.0
Mahón (Islas Baleares),NO,0.43,0.24,0.31,0.2,0.24,0.23,0.31,0.3,0.39,0.4,0.54,0.54,0.33
Mahón (Islas Baleares),NO2,4.21,3.74,3.74,2.31,2.61,2.7,3.33,3.18,3.79,3.51,4.1,5.63,3.57
Víznar (Granada),SO2,0.79,0.85,0.74,0.88,0.76,1.09,1.3,0.89,0.58,0.52,0.58,0.78,0.81
Víznar (Granada),O3,71.0,77.0,84.0,93.0,96.0,99.0,112.0,102.0,79.0,76.0,73.0,68.0,86.0
Víznar (Granada),NO,1.47,1.04,0.43,0.31,0.73,0.68,0.53,0.37,0.59,0.64,1.02,1.5,0.74
Víznar (Granada),NO2,5.17,3.96,3.83,2.81,3.86,3.56,3.49,2.76,3.82,4.22,3.23,6.87,3.97
Niembro-Llanes (Asturias),SO2,0.64,0.35,0.4,0.6,0.48,0.29,0.25,0.25,0.3,0.51,0.51,0.71,0.44
Niembro-Llanes (Asturias),O3,70.0,78.0,86.0,91.0,97.0,72.0,71.0,68.0,84.0,73.0,65.0,68.0,77.0
Niembro-Llanes (Asturias),NO,0.4,0.37,0.35,0.37,0.34,0.43,0.47,0.57,0.56,0.7,0.63,0.85,0.52
Niembro-Llanes (Asturias),NO2,2.6,2.14,2.0,1.95,1.6,1.99,1.79,1.94,2.34,3.03,3.52,4.51,2.46
Campisábalos (Guadalajara),SO2,0.59,0.61,0.43,0.46,0.42,0.35,0.49,0.95,0.89,0.86,0.82,0.74,0.64
