FECHA,PRODUCTO,SECTOR,PRECIO MEDIO,PROCEDENCIA
2018-01,ACEITUNAS,FRUTAS HUESO,3.80,MercaBarna
2018-01,ACELGAS,HORTALIZAS HOJA,0.76,MercaBarna
2018-01,AGUACATE,FRUTAS EXOTICAS,3.23,MercaBarna
2018-01,AJOS SECOS,HORTALIZAS BULBOS,1.75,MercaBarna
2018-01,AJOS TIERNOS,HORTALIZAS BULBOS,0.72,MercaBarna
2018-01,ALBARICOQUES,FRUTAS HUESO,1.27,MercaBarna
2018-01,ALCACHOFA,HORTALIZAS INFLORESC.,1.50,MercaBarna
2018-01,APIOS,HORTALIZAS HOJA,0.62,MercaBarna
2018-01,BATATA,HORTALIZAS TUBERCULO,0.78,MercaBarna
2018-01,BERENJENA LARGA,HORTALIZAS FRUTO,1.34,MercaBarna
2018-01,BERROS,HORTALIZAS HOJA,0.60,MercaBarna
2018-01,BORRAJA,HORTALIZAS HOJA,0.80,MercaBarna
2018-01,BROCOL,HORTALIZAS INFLORESC.,0.73,MercaBarna
2018-01,BROCULI,HORTALIZAS INFLORESC.,0.99,MercaBarna
2018-01,CALABACIN,HORTALIZAS FRUTO,1.05,MercaBarna
2018-01,CALABAZA,HORTALIZAS FRUTO,0.40,MercaBarna
2018-01,CALÇOTS,HORTALIZAS BULBOS,0.11,MercaBarna
2018-01,CARACOLES,OTROS OTROS,4.20,MercaBarna
2018-01,CARAMBOLA,FRUTAS EXOTICAS,5.40,MercaBarna
2018-01,CARDOS,HORTALIZAS HOJA,0.64,MercaBarna
2018-01,CAÑA DE AZUCAR,OTROS OTROS,1.15,MercaBarna
2018-01,CEBOLLA SECA,HORTALIZAS BULBOS,0.27,MercaBarna
2018-01,CEBOLLA SECA FIGUERAS,HORTALIZAS BULBOS,1.08,MercaBarna
2018-01,CEBOLLA TIERNA,HORTALIZAS BULBOS,0.58,MercaBarna
2018-01,CEREZAS,FRUTAS HUESO,10.81,MercaBarna
2018-01,CHAMPIÑONES,OTROS SETAS,2.40,MercaBarna
2018-01,CHIRIMOIA,FRUTAS EXOTICAS,1.87,MercaBarna
2018-01,CHIRIVIA,HORTALIZAS RAIZ,0.90,MercaBarna
2018-01,CIRUELA,FRUTAS HUESO,0.80,MercaBarna
2018-01,COCOS,FRUTAS EXOTICAS,0.90,MercaBarna
2018-01,COL BRUSELAS,HORTALIZAS HOJA,1.00,MercaBarna
2018-01,COLES,HORTALIZAS HOJA,0.67,MercaBarna
2018-01,COLES CHINA,HORTALIZAS HOJA,0.50,MercaBarna
2018-01,COLES LOMBARDA,HORTALIZAS HOJA,0.75,MercaBarna
2018-01,COLIFLOR,HORTALIZAS INFLORESC.,0.92,MercaBarna
2018-01,DATILES,FRUTAS OTRAS,1.21,MercaBarna
2018-01,ENDIBIAS,HORTALIZAS TALLOS,0.85,MercaBarna
2018-01,ESCAROLA,HORTALIZAS HOJA,0.68,MercaBarna
2018-01,ESPARRAGO BLANCO,HORTALIZAS TALLOS,4.00,MercaBarna
2018-01,ESPARRAGO VERDE,HORTALIZAS TALLOS,1.70,MercaBarna
2018-01,ESPINACAS,HORTALIZAS HOJA,0.74,MercaBarna
2018-01,FRUTAS CAQUIS,FRUTAS OTRAS,1.22,MercaBarna
2018-01,FRUTAS FRAMBUESA,FRUTAS OTRAS,8.00,MercaBarna
2018-01,FRUTAS FRESA,FRUTAS OTRAS,5.60,MercaBarna
2018-01,FRUTAS FRESON,FRUTAS OTRAS,3.60,MercaBarna
2018-01,FRUTAS FRUTAS SIN DETERMINAR,FRUTAS OTRAS,0.90,MercaBarna
2018-01,FRUTAS GRANADAS,FRUTAS OTRAS,1.77,MercaBarna
2018-01,FRUTAS GROSELLA,FRUTAS OTRAS,10.00,MercaBarna
2018-01,FRUTAS HIGO CHUMBO,FRUTAS OTRAS,1.90,MercaBarna
2018-01,FRUTAS HIGOS,FRUTAS OTRAS,2.00,MercaBarna
2018-01,FRUTAS KIWIS,FRUTAS OTRAS,1.94,MercaBarna
2018-01,FRUTAS MELON AMARILLO,FRUTAS OTRAS,1.01,MercaBarna
2018-01,FRUTAS MELON GALIA,FRUTAS OTRAS,0.95,MercaBarna
2018-01,FRUTAS MELON SIN DETERMINAR,FRUTAS OTRAS,0.97,MercaBarna
2018-01,FRUTAS MELON VERDE PIEL DE SAPO,FRUTAS OTRAS,1.14,MercaBarna
2018-01,FRUTAS MORA,FRUTAS OTRAS,7.50,MercaBarna
2018-01,FRUTAS PIÑA TROPICAL,FRUTAS OTRAS,0.84,MercaBarna
2018-01,FRUTAS PLATANOS CANARIOS,FRUTAS OTRAS,1.09,MercaBarna
2018-01,FRUTAS PLATANOS IMPORTACION,FRUTAS OTRAS,0.88,MercaBarna
2018-01,FRUTAS SANDIA CON GRANA,FRUTAS OTRAS,1.05,MercaBarna
2018-01,FRUTAS SANDIA SIN GRANA,FRUTAS OTRAS,0.94,MercaBarna
2018-01,FRUTAS UVA BLANCA,FRUTAS OTRAS,1.58,MercaBarna
2018-01,FRUTAS UVA NEGRA,FRUTAS OTRAS,1.79,MercaBarna
2018-01,GIRGOLAS,OTROS SETAS,1.90,MercaBarna
2018-01,GUISANTE,HORTALIZAS VAINA,1.67,MercaBarna
2018-01,HABAS,HORTALIZAS VAINA,0.69,MercaBarna
2018-01,HINOJO,HORTALIZAS HOJA,0.70,MercaBarna
2018-01,JUDIA BOBI,HORTALIZAS VAINA,2.96,MercaBarna
2018-01,JUDIA FINA,HORTALIZAS VAINA,3.53,MercaBarna
2018-01,JUDIA PERONA,HORTALIZAS VAINA,2.85,MercaBarna
2018-01,JUDIAS SIN DETERMINAR,HORTALIZAS VAINA,5.00,MercaBarna
2018-01,LECHUGA ICEBERG,HORTALIZAS HOJA,0.46,MercaBarna
2018-01,LECHUGA LARGA,HORTALIZAS HOJA,0.40,MercaBarna
2018-01,LECHUGA SIN DETERMINAR,HORTALIZAS HOJA,0.60,MercaBarna
2018-01,LICHIS,FRUTAS EXOTICAS,2.40,MercaBarna
2018-01,LIMA,FRUTAS CITRICOS,2.22,MercaBarna
2018-01,LIMON,FRUTAS CITRICOS,0.93,MercaBarna
2018-01,MAIZ,OTROS OTROS,2.00,MercaBarna
2018-01,MANDARINA CLEMENTINA,FRUTAS CITRICOS,0.70,MercaBarna
2018-01,MANDARINA SATSUMA,FRUTAS CITRICOS,0.80,MercaBarna
2018-01,MANDARINAS SIN DETER.,FRUTAS CITRICOS,1.30,MercaBarna
2018-01,MANGOS,FRUTAS EXOTICAS,2.19,MercaBarna
2018-01,MANZANA AMARILLA GOLDEN,FRUTAS SEMILLA,0.77,MercaBarna
2018-01,MANZANA BICOLOR,FRUTAS SEMILLA,0.89,MercaBarna
2018-01,MANZANA ROJA,FRUTAS SEMILLA,1.10,MercaBarna
2018-01,MANZANA VERDE GRANNY SMITH,FRUTAS SEMILLA,1.17,MercaBarna
2018-01,MANZANAS SIN DETERMINAR,FRUTAS SEMILLA,0.89,MercaBarna
2018-01,MARACUYA,FRUTAS EXOTICAS,5.50,MercaBarna
2018-01,MELOCOTON AMARILLO,FRUTAS HUESO,1.35,MercaBarna
2018-01,MELOCOTON ROJO P.BLANCA,FRUTAS HUESO,2.00,MercaBarna
2018-01,MELOCOTONES ROJOS P.AMARILLA,FRUTAS HUESO,2.00,MercaBarna
2018-01,MEMBRILLO,FRUTAS SEMILLA,0.67,MercaBarna
2018-01,NABO,HORTALIZAS RAIZ,0.78,MercaBarna
2018-01,NARANJA,FRUTAS CITRICOS,0.81,MercaBarna
2018-01,NASHIS,FRUTAS SEMILLA,1.00,MercaBarna
2018-01,NECTARINA PULPA AMARILLA,FRUTAS HUESO,1.64,MercaBarna
2018-01,NISPERO,FRUTAS SEMILLA,1.55,MercaBarna
2018-01,NÃSCALOS,OTROS SETAS,14.00,MercaBarna
2018-01,PAPAYAS,FRUTAS EXOTICAS,2.83,MercaBarna
2018-01,PATATA BLANCA CALIDAD MONA LISA,HORTALIZAS TUBERCULO,0.25,MercaBarna
2018-01,PATATA ROJA,HORTALIZAS TUBERCULO,0.34,MercaBarna
2018-01,PEPINO,HORTALIZAS FRUTO,0.88,MercaBarna
2018-01,PERA BLANQUILLA,FRUTAS SEMILLA,1.07,MercaBarna
2018-01,PERA DE INVIERNO,FRUTAS SEMILLA,0.98,MercaBarna
2018-01,PERA DE VERANO,FRUTAS SEMILLA,0.88,MercaBarna
2018-01,PERA TEMPRANA,FRUTAS SEMILLA,1.03,MercaBarna
2018-01,PEREJIL,HORTALIZAS HOJA,0.49,MercaBarna
2018-01,PIMIENTO LAMUYO,HORTALIZAS FRUTO,1.51,MercaBarna
2018-01,PIMIENTO ROJO,HORTALIZAS FRUTO,1.17,MercaBarna
2018-01,PIMIENTO VERDE ITALIANO,HORTALIZAS FRUTO,1.48,MercaBarna
2018-01,PITAHAYA,FRUTAS EXOTICAS,2.70,MercaBarna
2018-01,POMELO,FRUTAS CITRICOS,1.00,MercaBarna
2018-01,PUERROS,HORTALIZAS BULBOS,0.91,MercaBarna
2018-01,RABANOS,HORTALIZAS RAIZ,0.47,MercaBarna
2018-01,RAMBUTAN,FRUTAS EXOTICAS,7.00,MercaBarna
2018-01,REMOLACHA,HORTALIZAS RAIZ,0.70,MercaBarna
2018-01,SECO ALMENDRAS,FRUTAS FRUTO,4.30,MercaBarna
2018-01,SECO AVELLANAS,FRUTAS FRUTO,3.60,MercaBarna
2018-01,SECO CASTAÑAS,FRUTAS FRUTO,2.00,MercaBarna
2018-01,SECO NUECES,FRUTAS FRUTO,2.85,MercaBarna
2018-01,SETAS SIN DETERMINAR,OTROS SETAS,10.00,MercaBarna
2018-01,TOMATE MADURO,HORTALIZAS FRUTO,1.03,MercaBarna
2018-01,TOMATE VERDE,HORTALIZAS FRUTO,1.20,MercaBarna
2018-01,VARIOS,OTROS OTROS,1.50,MercaBarna
2018-01,VERDURAS OTRAS,HORTALIZAS OTROS,0.70,MercaBarna
2018-01,ZANAHORIA,HORTALIZAS RAIZ,0.37,MercaBarna
2018-02,ACELGAS,HORTALIZAS HOJA,0.72,MercaBarna
2018-02,AGUACATE,FRUTAS EXOTICAS,3.34,MercaBarna
2018-02,AJOS SECOS,HORTALIZAS BULBOS,1.60,MercaBarna
2018-02,AJOS TIERNOS,HORTALIZAS BULBOS,0.67,MercaBarna
2018-02,ALBARICOQUES,FRUTAS HUESO,1.30,MercaBarna
2018-02,ALCACHOFA,HORTALIZAS INFLORESC.,1.41,MercaBarna
2018-02,APIOS,HORTALIZAS HOJA,0.62,MercaBarna
2018-02,BATATA,HORTALIZAS TUBERCULO,0.79,MercaBarna
2018-02,BERENJENA LARGA,HORTALIZAS FRUTO,1.17,MercaBarna
2018-02,BERROS,HORTALIZAS HOJA,0.60,MercaBarna
2018-02,BORRAJA,HORTALIZAS HOJA,0.93,MercaBarna
2018-02,BROCOL,HORTALIZAS INFLORESC.,0.64,MercaBarna
2018-02,BROCULI,HORTALIZAS INFLORESC.,0.81,MercaBarna
2018-02,CALABACIN,HORTALIZAS FRUTO,1.02,MercaBarna
2018-02,CALABAZA,HORTALIZAS FRUTO,0.40,MercaBarna
2018-02,CALÇOTS,HORTALIZAS BULBOS,0.12,MercaBarna
2018-02,CARACOLES,OTROS OTROS,4.20,MercaBarna
2018-02,CARAMBOLA,FRUTAS EXOTICAS,5.40,MercaBarna
2018-02,CARDOS,HORTALIZAS HOJA,0.60,MercaBarna
2018-02,CAÑA DE AZUCAR,OTROS OTROS,1.15,MercaBarna
2018-02,CEBOLLA SECA,HORTALIZAS BULBOS,0.24,MercaBarna
2018-02,CEBOLLA SECA FIGUERAS,HORTALIZAS BULBOS,0.90,MercaBarna
2018-02,CEBOLLA TIERNA,HORTALIZAS BULBOS,0.35,MercaBarna
2018-02,CEREZAS,FRUTAS HUESO,11.05,MercaBarna
2018-02,CHAMPIÑONES,OTROS SETAS,2.40,MercaBarna
2018-02,CHIRIMOIA,FRUTAS EXOTICAS,1.73,MercaBarna
2018-02,CHIRIVIA,HORTALIZAS RAIZ,0.90,MercaBarna
2018-02,CIRUELA,FRUTAS HUESO,0.80,MercaBarna
2018-02,COCOS,FRUTAS EXOTICAS,1.09,MercaBarna
2018-02,COL BRUSELAS,HORTALIZAS HOJA,0.95,MercaBarna
2018-02,COLES,HORTALIZAS HOJA,0.61,MercaBarna
2018-02,COLES CHINA,HORTALIZAS HOJA,0.50,MercaBarna
2018-02,COLES LOMBARDA,HORTALIZAS HOJA,0.75,MercaBarna
2018-02,COLIFLOR,HORTALIZAS INFLORESC.,1.14,MercaBarna
2018-02,DATILES,FRUTAS OTRAS,1.39,MercaBarna
2018-02,ENDIBIAS,HORTALIZAS TALLOS,0.98,MercaBarna
