,PRODUCTOS,Semana42
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 42
4,,12/10-18/10
5,FRUTAS,
6,Clementina  (€/100 kg),38.740988696779105
7,Limón  (€/100 kg),44.22534092261134
8,Naranja grupo Navel (€/100 kg),24.389804923201304
9,Satsuma (€/100 kg),24.518867223813658
10,Manzana Golden (€/100 kg),55.15062563910533
11,Pera Blanquilla (€/100 kg),54.02839603089869
12,Pera Conferencia (€/100 kg),62.24981613262304
13,Melocotón (€/100 kg),140.837640504955
14,Aguacate (€/100 kg),231.32890972613708
15,Caqui (€/100 kg),29.500000000000004
16,Granada (€/100 kg),63.89604711043031
17,Higo (€/100 kg),200
18,Plátano (€/100 kg),96.09
19,Uva de mesa (€/100 kg),65
20,HORTALIZAS,
21,Acelga (€/100kg),65.26654674120658
22,Ajo (€/100kg),165.12954136769147
23,Alcachofa (€/100kg),64.5
24,Berenjena (€/100 kg),67.41886411780047
25,Brócoli (€/100 kg),47.5
26,Calabacín (€/100 kg),126.64176092949377
27,Cebolla (€/100 kg),16.573661416544034
28,Champiñón (€/100kg),154.00240792026787
29,Coliflor (€/100 kg),61.36787932597852
30,Col-repollo hoja lisa (€/100 kg),27.74269801668305
31,Espárrago (€/100 kg),250
32,Judía verde tipo plana (€/100 kg),162.6107703484639
33,Lechuga Romana (€/100 ud),21.709926980227028
34,Pepino (€/100 kg),64.5783731172458
35,Pimiento verde tipo italiano (€/100 kg),52.35444377957139
