product,origen,Unidad,familia,price_mean,Volumen,Valor (en euros),DATE
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,12.0,45.599999999999994,2018-04-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,5.0,19.0,2018-05-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,10.0,38.0,2018-06-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,4.0,15.2,2018-07-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,12.0,45.599999999999994,2018-08-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,1543.0,5863.4,2018-10-01
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,79.0,300.2,2020-10-01
ACEITUNAS,CATELLON,kg,FRUTAS HUESO,3.8,80.0,304.0,2018-10-01
ACEITUNAS,CIUDAD REAL,kg,FRUTAS HUESO,3.8,210.0,798.0,2020-09-01
ACEITUNAS,CIUDAD REAL,kg,FRUTAS HUESO,3.8,282.0,1071.6,2020-10-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,800.0,3040.0,2018-09-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,28.0,106.39999999999999,2018-10-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,4929.0,18730.2,2019-09-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,5451.0,20713.8,2019-10-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,691.0,2625.7999999999997,2019-11-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,33633.0,127805.4,2020-09-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,25938.0,98564.4,2020-10-01
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,30032.0,114121.59999999999,2020-11-01
ACEITUNAS,FRANCIA,kg,FRUTAS HUESO,3.8,4.0,15.2,2018-05-01
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,35.0,133.0,2019-10-01
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,494.0,1877.1999999999998,2020-09-01
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,148.0,562.4,2020-10-01
