INICIO,FIN,GRUPO,SECTOR,SUBSECTOR,PRODUCTO,TIPO,SUBTIPO,POSICION,PRECIO,UNIDAD
1/1/2018,7/1/2018,Agrícola,Frutales,Citricos,LIMON,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"0,92",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Citricos,MANDARINA,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"0,84",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Citricos,NARANJA,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"0,78",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Citricos,POMELO,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"1,01",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"3,77",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,BACON,Agricultor,"1,2",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,BACON,Agricultor,"0,59",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,BACON,Agricultor,"1,27",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,FUERTE,Agricultor,"1,7",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,FUERTE,Agricultor,"0,57",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,FUERTE,Agricultor,"1,56",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,HASS,Agricultor,"2,9",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,HASS,Agricultor,"1,62",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,HASS,Agricultor,"2,44",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,SIN ESPECIFICAR,Agricultor,"2,05",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,AGUACATE,SIN ESPECIFICAR,SIN ESPECIFICAR,Agricultor,"0,49",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,CHIRIMOYA,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"3,11",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,CHIRIMOYA,SIN ESPECIFICAR,FINO DE JETE,Agricultor,"2,11",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,CHIRIMOYA,SIN ESPECIFICAR,FINO DE JETE,Agricultor,"1,74",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,CHIRIMOYA,SIN ESPECIFICAR,FINO DE JETE,Agricultor,"0,8",Euros/kg
1/1/2018,7/1/2018,Agrícola,Frutales,Frutales no cítricos,MANGO,SIN ESPECIFICAR,SIN ESPECIFICAR,Mercas,"1,77",Euros/kg
1/1/2018,7/1/2018,Agrícola,Hortalizas,Frutos rojos,FRAMBUESA,SIN ESPECIFICAR,SIN ESPECIFICAR,Agricultor,"7,01",Euros/kg
1/1/2018,7/1/2018,Agrícola,Hortalizas,Frutos rojos,FRESÓN,SIN ESPECIFICAR,SIN ESPECIFICAR,Agricultor,"2,91",Euros/kg
1/1/2018,7/1/2018,Agrícola,Hortalizas,Frutos rojos,FRESÓN,SIN ESPECIFICAR,SIN ESPECIFICAR,Agricultor,"1,89",Euros/kg
