PERIOD,REPORTER,PARTNER,PRODUCT,FLOW,INDICATORS,Value
2019,Austria,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,VALUE_IN_EUROS,56680.0
2019,Austria,ES,"Bananas, fresh (excl. plantains)(2012-2500)",EXPORT,QUANTITY_IN_100KG,609.0
2018,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,16660.0
2018,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,127.0
2019,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,VALUE_IN_EUROS,2115.0
2019,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",EXPORT,QUANTITY_IN_100KG,12.0
2018,Austria,ES,Dried apples(1988-2500),EXPORT,VALUE_IN_EUROS,138365.0
2018,Austria,ES,Dried apples(1988-2500),EXPORT,QUANTITY_IN_100KG,114.0
2019,Austria,ES,Dried apples(1988-2500),EXPORT,VALUE_IN_EUROS,51242.0
2019,Austria,ES,Dried apples(1988-2500),EXPORT,QUANTITY_IN_100KG,45.0
2018,Austria,ES,Dried apricots(1988-2500),EXPORT,VALUE_IN_EUROS,204.0
2018,Austria,ES,Dried apricots(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Dried apricots(1988-2500),EXPORT,VALUE_IN_EUROS,67.0
2019,Austria,ES,Dried apricots(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,VALUE_IN_EUROS,699.0
2018,Austria,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,VALUE_IN_EUROS,993.0
2019,Austria,ES,Dried grapes (excl. currants and sultanas)(2005-2500),EXPORT,QUANTITY_IN_100KG,2.0
2018,Austria,ES,Dried pawpaws(1988-2500),EXPORT,VALUE_IN_EUROS,1239.0
2018,Austria,ES,Dried pawpaws(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Dried pawpaws(1988-2500),EXPORT,VALUE_IN_EUROS,1504.0
2019,Austria,ES,Dried pawpaws(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2018,Austria,ES,Dried prunes(1988-2500),EXPORT,VALUE_IN_EUROS,233.0
2018,Austria,ES,Dried prunes(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Dried prunes(1988-2500),EXPORT,VALUE_IN_EUROS,108.0
2019,Austria,ES,Dried prunes(1988-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,VALUE_IN_EUROS,7124070.0
2018,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,QUANTITY_IN_100KG,63346.0
2019,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,VALUE_IN_EUROS,6040500.0
2019,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",EXPORT,QUANTITY_IN_100KG,79520.0
2018,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,VALUE_IN_EUROS,10163.0
2018,Austria,ES,Fresh cherries (excl. sour cherries)(2012-2500),EXPORT,QUANTITY_IN_100KG,23.0
2018,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),EXPORT,VALUE_IN_EUROS,79.0
2018,Austria,ES,Fresh grapes (excl. table grapes)(2000-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,VALUE_IN_EUROS,10.0
2019,Austria,ES,Fresh kiwifruit(2000-2500)|Fresh kiwifruit(1996-1996),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,VALUE_IN_EUROS,300.0
2018,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,QUANTITY_IN_100KG,3.0
2019,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,VALUE_IN_EUROS,185.0
2019,Austria,ES,Fresh melons (excl. watermelons)(1996-2500),EXPORT,QUANTITY_IN_100KG,2.0
2019,Austria,ES,Fresh navel oranges(2017-2500),EXPORT,VALUE_IN_EUROS,21.0
2019,Austria,ES,Fresh navel oranges(2017-2500),EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,VALUE_IN_EUROS,52.0
2019,Austria,ES,"Fresh nectarines(1998-2500)|Nectarines, fresh(1993-1994)",EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,VALUE_IN_EUROS,288.0
2018,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,VALUE_IN_EUROS,1406.0
2019,Austria,ES,"Fresh or chilled aubergines ""eggplants""(1988-2500)",EXPORT,QUANTITY_IN_100KG,9.0
2018,Austria,ES,Fresh or chilled courgettes(2012-2500),EXPORT,VALUE_IN_EUROS,462.0
2018,Austria,ES,Fresh or chilled courgettes(2012-2500),EXPORT,QUANTITY_IN_100KG,2.0
2019,Austria,ES,Fresh or chilled courgettes(2012-2500),EXPORT,VALUE_IN_EUROS,70.0
2019,Austria,ES,Fresh or chilled courgettes(2012-2500),EXPORT,QUANTITY_IN_100KG,1.0
2018,Austria,ES,Fresh or chilled globe artichokes(2012-2500),EXPORT,VALUE_IN_EUROS,11.0
2018,Austria,ES,Fresh or chilled globe artichokes(2012-2500),EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh or chilled sweet peppers(1988-2500),EXPORT,VALUE_IN_EUROS,89887.0
2018,Austria,ES,Fresh or chilled sweet peppers(1988-2500),EXPORT,QUANTITY_IN_100KG,643.0
2019,Austria,ES,Fresh or chilled sweet peppers(1988-2500),EXPORT,VALUE_IN_EUROS,4552.0
2019,Austria,ES,Fresh or chilled sweet peppers(1988-2500),EXPORT,QUANTITY_IN_100KG,19.0
2018,Austria,ES,Fresh or dried avocados(2000-2500),EXPORT,VALUE_IN_EUROS,2961.0
2018,Austria,ES,Fresh or dried avocados(2000-2500),EXPORT,QUANTITY_IN_100KG,10.0
2019,Austria,ES,Fresh or dried avocados(2000-2500),EXPORT,VALUE_IN_EUROS,1757.0
2019,Austria,ES,Fresh or dried avocados(2000-2500),EXPORT,QUANTITY_IN_100KG,5.0
2018,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),EXPORT,VALUE_IN_EUROS,186.0
2018,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),EXPORT,VALUE_IN_EUROS,495.0
2019,Austria,ES,Fresh or dried clementines incl. monreales(2017-2500),EXPORT,QUANTITY_IN_100KG,4.0
2018,Austria,ES,Fresh or dried dates(1988-2500),EXPORT,VALUE_IN_EUROS,1476.0
2018,Austria,ES,Fresh or dried dates(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2019,Austria,ES,Fresh or dried dates(1988-2500),EXPORT,VALUE_IN_EUROS,1172.0
2019,Austria,ES,Fresh or dried dates(1988-2500),EXPORT,QUANTITY_IN_100KG,1.0
2018,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",EXPORT,VALUE_IN_EUROS,10049.0
2018,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",EXPORT,QUANTITY_IN_100KG,10.0
2019,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",EXPORT,VALUE_IN_EUROS,9326.0
2019,Austria,ES,"Fresh or dried guavas, mangoes and mangosteens(1988-2500)",EXPORT,QUANTITY_IN_100KG,11.0
2018,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",EXPORT,VALUE_IN_EUROS,78115.0
2018,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",EXPORT,QUANTITY_IN_100KG,1209.0
2019,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",EXPORT,VALUE_IN_EUROS,42399.0
2019,Austria,ES,"Fresh or dried lemons ""Citrus limon, Citrus limonum""(2002-2500)",EXPORT,QUANTITY_IN_100KG,608.0
2018,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",EXPORT,VALUE_IN_EUROS,117.0
2018,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",EXPORT,QUANTITY_IN_100KG,0.0
2019,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",EXPORT,VALUE_IN_EUROS,200.0
2019,Austria,ES,"Fresh or dried limes ""Citrus aurantifolia, Citrus latifolia""(2002-2500)",EXPORT,QUANTITY_IN_100KG,0.0
2018,Austria,ES,Fresh or dried pineapples(1988-2500),EXPORT,VALUE_IN_EUROS,2420.0
2018,Austria,ES,Fresh or dried pineapples(1988-2500),EXPORT,QUANTITY_IN_100KG,7.0
2019,Austria,ES,Fresh or dried pineapples(1988-2500),EXPORT,VALUE_IN_EUROS,1341.0
