PERIOD,REPORTER,PARTNER,PRODUCT,FLOW,INDICATORS,Value
2018,Austria,ES,"Bananas, fresh (excl. plantains)(2012-2500)",IMPORT,VALUE_IN_EUROS,1058.0
2018,Austria,ES,"Bananas, fresh (excl. plantains)(2012-2500)",IMPORT,QUANTITY_IN_100KG,4.0
2018,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",IMPORT,VALUE_IN_EUROS,10291726.0
2018,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",IMPORT,QUANTITY_IN_100KG,68714.0
2019,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",IMPORT,VALUE_IN_EUROS,10714741.0
2019,Austria,ES,"Cucumbers, fresh or chilled(1998-2500)",IMPORT,QUANTITY_IN_100KG,81470.0
2018,Austria,ES,"Dried peaches, incl. nectarines(1988-2500)",IMPORT,VALUE_IN_EUROS,117365.0
2018,Austria,ES,"Dried peaches, incl. nectarines(1988-2500)",IMPORT,QUANTITY_IN_100KG,786.0
2019,Austria,ES,"Dried peaches, incl. nectarines(1988-2500)",IMPORT,VALUE_IN_EUROS,237710.0
2019,Austria,ES,"Dried peaches, incl. nectarines(1988-2500)",IMPORT,QUANTITY_IN_100KG,1523.0
2018,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",IMPORT,VALUE_IN_EUROS,141406.0
2018,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",IMPORT,QUANTITY_IN_100KG,703.0
2019,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",IMPORT,VALUE_IN_EUROS,636412.0
2019,Austria,ES,"Fresh apples (excl. cider apples, in bulk, from 16 September to 15 December)(2005-2500)",IMPORT,QUANTITY_IN_100KG,2958.0
2018,Austria,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),IMPORT,VALUE_IN_EUROS,2004237.0
2018,Austria,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),IMPORT,QUANTITY_IN_100KG,12010.0
2019,Austria,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),IMPORT,VALUE_IN_EUROS,1759852.0
2019,Austria,ES,Fresh apricots(1998-2500)|Fresh apricots(1988-1994),IMPORT,QUANTITY_IN_100KG,12081.0
