Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2013,T.FRUTAS FRESCAS,1153.05,1596.45,1.38,1.43,INTERNET,2013,1
01-2013,NARANJAS,556.26,668.21,0.12,0.52,INTERNET,2013,1
01-2013,MANDARINAS,167.91,242.05,1.44,0.25,INTERNET,2013,1
01-2013,LIMONES,37.72,49.11,0.13,0.24,INTERNET,2013,1
01-2013,PLATANOS,127.17,198.56,1.56,0.61,INTERNET,2013,1
01-2013,MANZANAS,87.12,144.59,1.66,0.44,INTERNET,2013,1
01-2013,PERAS,65.86,103.48,1.57,0.18,INTERNET,2013,1
01-2013,MELOCOTONES,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,ALBARICOQUES,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,FRESAS/FRESON,0.73,3.37,4.62,0.02,INTERNET,2013,1
01-2013,MELON,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,SANDIA,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,CIRUELAS,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,CEREZAS,0.0,0.0,0.0,0.0,INTERNET,2013,1
01-2013,UVAS,8.78,19.75,2.25,0.02,INTERNET,2013,1
01-2013,KIWI,16.43,31.99,1.95,0.18,INTERNET,2013,1
01-2013,AGUACATE,0.68,1.32,1.94,0.0,INTERNET,2013,1
01-2013,PIÑA,66.29,92.36,1.39,0.18,INTERNET,2013,1
01-2013,OTRAS FRUTAS FRESCAS,18.11,41.65,0.23,0.01,INTERNET,2013,1
01-2013,FRUTAS IV GAMA,71.2,102.06,1.43,0.16,INTERNET,2013,1
01-2013,FRUTAS ECOLOGICAS,179.13,313.71,1.75,0.06,INTERNET,2013,1
02-2013,T.FRUTAS FRESCAS,943.72,1284.85,1.36,0.11,INTERNET,2013,2
02-2013,NARANJAS,560.11,655.44,1.17,0.46,INTERNET,2013,2
02-2013,MANDARINAS,51.1,97.17,0.19,0.14,INTERNET,2013,2
02-2013,LIMONES,23.73,36.45,1.54,0.18,INTERNET,2013,2
02-2013,PLATANOS,112.47,143.02,1.27,0.45,INTERNET,2013,2
02-2013,MANZANAS,65.68,100.2,1.53,0.31,INTERNET,2013,2
02-2013,PERAS,21.71,39.1,0.18,0.11,INTERNET,2013,2
02-2013,MELOCOTONES,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,ALBARICOQUES,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,FRESAS/FRESON,25.61,79.45,0.31,0.16,INTERNET,2013,2
02-2013,MELON,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,SANDIA,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,CIRUELAS,0.69,2.6,3.75,0.01,INTERNET,2013,2
02-2013,CEREZAS,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,UVAS,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,KIWI,54.98,90.22,1.64,0.19,INTERNET,2013,2
02-2013,AGUACATE,3.2,8.03,2.51,0.03,INTERNET,2013,2
02-2013,PIÑA,13.33,18.01,1.35,0.05,INTERNET,2013,2
02-2013,OTRAS FRUTAS FRESCAS,11.12,15.16,1.36,0.07,INTERNET,2013,2
02-2013,FRUTAS IV GAMA,41.06,33.65,0.82,0.04,INTERNET,2013,2
02-2013,FRUTAS ECOLOGICAS,158.31,245.95,1.55,0.13,INTERNET,2013,2
03-2013,T.FRUTAS FRESCAS,773.94,1092.31,1.41,1.27,INTERNET,2013,3
03-2013,NARANJAS,324.0,256.18,0.79,0.55,INTERNET,2013,3
03-2013,MANDARINAS,63.16,96.68,1.53,0.25,INTERNET,2013,3
03-2013,LIMONES,6.37,9.94,1.56,0.03,INTERNET,2013,3
03-2013,PLATANOS,108.1,150.38,1.39,0.04,INTERNET,2013,3
03-2013,MANZANAS,49.76,68.81,1.38,0.33,INTERNET,2013,3
03-2013,PERAS,38.0,55.59,1.46,0.27,INTERNET,2013,3
03-2013,MELOCOTONES,0.0,0.0,0.0,0.0,INTERNET,2013,3
03-2013,ALBARICOQUES,0.0,0.0,0.0,0.0,INTERNET,2013,3
03-2013,FRESAS/FRESON,62.64,150.1,0.24,0.41,INTERNET,2013,3
03-2013,MELON,6.44,34.28,5.32,0.05,INTERNET,2013,3
03-2013,SANDIA,10.07,11.36,1.13,0.03,INTERNET,2013,3
03-2013,CIRUELAS,0.0,0.0,0.0,0.0,INTERNET,2013,3
03-2013,CEREZAS,0.0,0.0,0.0,0.0,INTERNET,2013,3
03-2013,UVAS,0.0,0.0,0.0,0.0,INTERNET,2013,3
03-2013,KIWI,21.07,43.3,2.05,0.21,INTERNET,2013,3
03-2013,AGUACATE,1.33,2.01,1.51,0.01,INTERNET,2013,3
03-2013,PIÑA,60.9,168.64,2.77,0.16,INTERNET,2013,3
03-2013,OTRAS FRUTAS FRESCAS,22.1,45.04,2.04,0.12,INTERNET,2013,3
03-2013,FRUTAS IV GAMA,105.88,237.51,2.24,0.19,INTERNET,2013,3
03-2013,FRUTAS ECOLOGICAS,21.12,34.78,1.65,0.09,INTERNET,2013,3
04-2013,T.FRUTAS FRESCAS,805.62,1194.97,1.48,1.17,INTERNET,2013,4
04-2013,NARANJAS,373.67,429.38,1.15,0.29,INTERNET,2013,4
04-2013,MANDARINAS,21.26,46.74,0.22,0.01,INTERNET,2013,4
04-2013,LIMONES,19.96,27.06,1.36,0.13,INTERNET,2013,4
04-2013,PLATANOS,92.41,133.95,1.45,0.42,INTERNET,2013,4
04-2013,MANZANAS,129.02,200.82,1.56,0.05,INTERNET,2013,4
04-2013,PERAS,23.95,35.3,1.47,0.16,INTERNET,2013,4
04-2013,MELOCOTONES,7.75,7.67,0.99,0.05,INTERNET,2013,4
04-2013,ALBARICOQUES,0.0,0.0,0.0,0.0,INTERNET,2013,4
04-2013,FRESAS/FRESON,31.04,63.49,2.05,0.22,INTERNET,2013,4
04-2013,MELON,0.0,0.0,0.0,0.0,INTERNET,2013,4
04-2013,SANDIA,20.42,34.49,1.69,0.05,INTERNET,2013,4
04-2013,CIRUELAS,0.0,0.0,0.0,0.0,INTERNET,2013,4
04-2013,CEREZAS,0.0,0.0,0.0,0.0,INTERNET,2013,4
04-2013,UVAS,2.61,16.99,0.65,0.03,INTERNET,2013,4
04-2013,KIWI,11.65,26.78,0.23,0.01,INTERNET,2013,4
04-2013,AGUACATE,3.98,11.48,2.89,0.05,INTERNET,2013,4
04-2013,PIÑA,54.23,130.43,2.41,0.02,INTERNET,2013,4
04-2013,OTRAS FRUTAS FRESCAS,13.66,30.4,2.23,0.07,INTERNET,2013,4
04-2013,FRUTAS IV GAMA,25.95,82.14,3.17,0.08,INTERNET,2013,4
04-2013,FRUTAS ECOLOGICAS,159.16,221.88,1.39,0.09,INTERNET,2013,4
05-2013,T.FRUTAS FRESCAS,670.28,1134.08,1.69,1.18,INTERNET,2013,5
05-2013,NARANJAS,153.74,248.36,1.62,0.17,INTERNET,2013,5
05-2013,MANDARINAS,10.49,13.43,1.28,0.07,INTERNET,2013,5
05-2013,LIMONES,28.86,45.96,1.59,0.18,INTERNET,2013,5
05-2013,PLATANOS,120.66,152.87,1.27,0.52,INTERNET,2013,5
05-2013,MANZANAS,71.86,106.49,1.48,0.29,INTERNET,2013,5
05-2013,PERAS,66.93,128.84,1.92,0.39,INTERNET,2013,5
05-2013,MELOCOTONES,0.0,0.0,0.0,0.0,INTERNET,2013,5
05-2013,ALBARICOQUES,0.0,0.0,0.0,0.0,INTERNET,2013,5
05-2013,FRESAS/FRESON,57.02,111.55,1.96,0.18,INTERNET,2013,5
05-2013,MELON,0.0,0.0,0.0,0.0,INTERNET,2013,5
05-2013,SANDIA,16.64,11.43,0.69,0.06,INTERNET,2013,5
05-2013,CIRUELAS,0.0,0.0,0.0,0.0,INTERNET,2013,5
05-2013,CEREZAS,11.82,54.3,4.59,0.09,INTERNET,2013,5
05-2013,UVAS,3.04,7.16,2.35,0.03,INTERNET,2013,5
05-2013,KIWI,12.67,30.97,2.44,0.14,INTERNET,2013,5
05-2013,AGUACATE,26.78,58.29,2.18,0.01,INTERNET,2013,5
05-2013,PIÑA,53.8,115.5,2.15,0.02,INTERNET,2013,5
05-2013,OTRAS FRUTAS FRESCAS,35.96,48.94,1.36,0.16,INTERNET,2013,5
05-2013,FRUTAS IV GAMA,12.77,64.45,5.05,0.11,INTERNET,2013,5
05-2013,FRUTAS ECOLOGICAS,60.45,71.42,1.18,0.13,INTERNET,2013,5
06-2013,T.FRUTAS FRESCAS,614.78,1099.48,1.79,1.15,INTERNET,2013,6
06-2013,NARANJAS,98.63,105.66,1.07,0.19,INTERNET,2013,6
06-2013,MANDARINAS,0.0,0.0,0.0,0.0,INTERNET,2013,6
06-2013,LIMONES,14.25,26.0,1.83,0.09,INTERNET,2013,6
06-2013,PLATANOS,108.33,184.8,1.71,0.52,INTERNET,2013,6
06-2013,MANZANAS,42.99,64.38,0.15,0.18,INTERNET,2013,6
06-2013,PERAS,20.91,41.15,1.97,0.15,INTERNET,2013,6
06-2013,MELOCOTONES,28.95,57.21,1.98,0.15,INTERNET,2013,6
06-2013,ALBARICOQUES,16.53,35.95,2.17,0.16,INTERNET,2013,6
06-2013,FRESAS/FRESON,10.3,27.59,2.68,0.11,INTERNET,2013,6
