Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2013,TOTAL PATATAS,54708.33,45953.75,0.84,58.97,SUPERMERCADO,2013,1
01-2013,PATATAS FRESCAS,33044.44,25113.03,0.76,35.38,SUPERMERCADO,2013,1
01-2013,PATATAS CONGELADAS,3343.16,3683.98,0.11,10.64,SUPERMERCADO,2013,1
01-2013,PATATAS PROCESADAS,3664.15,17156.74,4.68,37.56,SUPERMERCADO,2013,1
01-2013,T.HORTALIZAS FRESCAS,89954.93,161019.9,1.79,85.04,SUPERMERCADO,2013,1
01-2013,TOMATES,17895.01,25858.52,1.45,53.69,SUPERMERCADO,2013,1
01-2013,CEBOLLAS,11809.82,10689.84,0.91,39.39,SUPERMERCADO,2013,1
01-2013,AJOS,1053.11,5136.08,4.88,1.87,SUPERMERCADO,2013,1
01-2013,COLES,2865.14,3295.92,1.15,10.41,SUPERMERCADO,2013,1
01-2013,PEPINOS,2095.34,3330.31,1.59,0.13,SUPERMERCADO,2013,1
01-2013,JUDIAS VERDES,2777.41,8088.99,2.91,17.62,SUPERMERCADO,2013,1
01-2013,PIMIENTOS,6275.34,13197.77,0.21,3.77,SUPERMERCADO,2013,1
01-2013,CHAMPIÑONES+O.SETAS,2794.6,9860.05,3.53,24.46,SUPERMERCADO,2013,1
01-2013,LECHUGA/ESC./ENDIVIA,6111.73,14882.67,2.44,35.41,SUPERMERCADO,2013,1
01-2013,ESPARRAGOS,375.39,1316.86,3.51,2.68,SUPERMERCADO,2013,1
01-2013,VERDURAS DE HOJA,1123.45,3314.21,2.95,10.47,SUPERMERCADO,2013,1
01-2013,BERENJENAS,1405.29,3206.33,2.28,11.64,SUPERMERCADO,2013,1
01-2013,ZANAHORIAS,7470.97,5846.26,0.78,35.33,SUPERMERCADO,2013,1
01-2013,CALABACINES,5654.14,9925.87,1.76,25.73,SUPERMERCADO,2013,1
01-2013,OTR.HORTALIZAS/VERD.,20248.2,43070.22,2.13,59.97,SUPERMERCADO,2013,1
01-2013,VERD./HORT. IV GAMA,6967.94,22508.46,3.23,38.52,SUPERMERCADO,2013,1
01-2013,VERD./HORT. ECOLOGIC,3121.53,5256.35,1.68,9.39,SUPERMERCADO,2013,1
02-2013,TOTAL PATATAS,48284.45,40761.76,0.84,55.22,SUPERMERCADO,2013,2
02-2013,PATATAS FRESCAS,28648.13,21456.99,0.75,31.36,SUPERMERCADO,2013,2
02-2013,PATATAS CONGELADAS,2900.59,3353.43,1.16,9.76,SUPERMERCADO,2013,2
02-2013,PATATAS PROCESADAS,3347.15,15951.35,4.77,35.56,SUPERMERCADO,2013,2
02-2013,T.HORTALIZAS FRESCAS,80675.59,138382.63,1.72,82.39,SUPERMERCADO,2013,2
02-2013,TOMATES,15433.63,22726.35,1.47,49.76,SUPERMERCADO,2013,2
02-2013,CEBOLLAS,11048.86,10087.59,0.91,36.33,SUPERMERCADO,2013,2
02-2013,AJOS,883.66,4135.63,4.68,15.22,SUPERMERCADO,2013,2
02-2013,COLES,2555.95,2894.59,1.13,10.33,SUPERMERCADO,2013,2
02-2013,PEPINOS,1957.6,3208.21,1.64,0.12,SUPERMERCADO,2013,2
02-2013,JUDIAS VERDES,2315.42,7059.19,3.05,15.42,SUPERMERCADO,2013,2
02-2013,PIMIENTOS,6047.93,11601.78,1.92,35.35,SUPERMERCADO,2013,2
02-2013,CHAMPIÑONES+O.SETAS,2512.75,8717.35,3.47,21.69,SUPERMERCADO,2013,2
02-2013,LECHUGA/ESC./ENDIVIA,5827.46,12858.72,2.21,32.97,SUPERMERCADO,2013,2
02-2013,ESPARRAGOS,190.41,820.76,4.31,1.74,SUPERMERCADO,2013,2
02-2013,VERDURAS DE HOJA,1179.67,3256.69,2.76,10.45,SUPERMERCADO,2013,2
02-2013,BERENJENAS,1353.95,2766.16,2.04,10.22,SUPERMERCADO,2013,2
02-2013,ZANAHORIAS,6232.1,4810.34,0.77,29.99,SUPERMERCADO,2013,2
02-2013,CALABACINES,5606.64,7908.62,1.41,25.07,SUPERMERCADO,2013,2
02-2013,OTR.HORTALIZAS/VERD.,17529.57,35530.64,2.03,56.01,SUPERMERCADO,2013,2
02-2013,VERD./HORT. IV GAMA,5838.97,18638.5,3.19,34.16,SUPERMERCADO,2013,2
02-2013,VERD./HORT. ECOLOGIC,2938.94,4828.77,1.64,8.33,SUPERMERCADO,2013,2
03-2013,TOTAL PATATAS,54216.03,46554.62,0.86,59.57,SUPERMERCADO,2013,3
03-2013,PATATAS FRESCAS,31552.7,23655.74,0.75,34.21,SUPERMERCADO,2013,3
03-2013,PATATAS CONGELADAS,3394.76,3946.08,1.16,10.61,SUPERMERCADO,2013,3
03-2013,PATATAS PROCESADAS,3853.71,18952.8,4.92,40.01,SUPERMERCADO,2013,3
03-2013,T.HORTALIZAS FRESCAS,83975.97,146827.68,1.75,8.36,SUPERMERCADO,2013,3
03-2013,TOMATES,16398.0,25297.63,1.54,50.17,SUPERMERCADO,2013,3
03-2013,CEBOLLAS,11607.26,11213.67,0.97,38.19,SUPERMERCADO,2013,3
